episode,speakers,utterances,emotions
video1.wmv,kismi,vah side mein ka bhi karte hain. hadiya jodne ka bhi aata hai unhen,neutral
video1.wmv,rosesh,ok,neutral
video1.wmv,kismi,unse sikha maine,joy
video1.wmv,rosesh,really?,joy
video1.wmv,kismi,han chaluth hai re. good night ,neutral
video1.wmv,rosesh,kismi kismi. baitho na tumhen gehri neend sona hai na,neutral
video1.wmv,kismi,haan,sadness
video1.wmv,rosesh,tumhen main apne natak ka dialogue sunao?,neutral
video1.wmv,kismi,tumhare natak ke dialogue sun ke log so jaate hain,neutral
video1.wmv,rosesh,nahin yah ek special natak tha jismein mein train ka dabba banaa tha,neutral
video1.wmv,kismi,train ka dabba?,neutral
video1.wmv,rosesh,han aise aur mera dialogue tha. train noises.,joy
yamraj.wmv,rosesh,oh my god yamraj uncle. mama aap night gown main corridor mein,surprise
yamraj.wmv,maya,o just forget about it. indu indu,fear
yamraj.wmv,rosesh,mom dad ki pulse nahi hai. dad gaye,sadness
yamraj.wmv,maya,what rubbish yamraj ji e aap abhi ke abhi isse zinda karo come on,anger
yamraj.wmv,yamraj,vah re kalyug ki savitri. mein chalta hun,contempt
yamraj.wmv,maya,nahin nahin nahin please rukiye. please mere pati ko wapas jinda kar dijiye please,sadness
yamraj.wmv,yamraj,uske alava dusra kuch mangi hai maya. aur han so santan chahie vah wali trick nahin mat aajmana,neutral
yamraj.wmv,indravardhan,are nahin yamraj ji wo aisi koi chij mange bhi na to kabhi tathasthu hargiz mat kahan. agar 100 rosesh paida ho gaye to hamara kya hoga,fear
yamraj.wmv,maya,o just shut up yah waqt hai joke karne ka. hello indravardhan,contempt
yamraj.wmv,everyone,everyone sings,joy
yamraj.wmv,maya,yah sab tum logon ka natak tha mujhe pahle se hi pata tha,neutral
yamraj.wmv,indravardhan,abhi thodi der pahle tu ro rahi thi. sahil maine kaha tha na ham donon ke bich mein koi bhi problem ho lekin waqt aane per yah mere liye sati savitri jarur banegi,joy
yamraj.wmv,rosesh,and momma meet him this is ramesh shirke stage actor,joy
yamraj.wmv,yamraj,hello,joy
yamraj.wmv,maya,i hate him.,joy
yamraj.wmv,monisha,mummy ji yah ine sab ki mili bhagat thi,joy
yamraj.wmv,indravardhan,han taki wedding anniversary ki party se pahle thoda maja a jaaye,joy
yamraj.wmv,sahil,i'm sorry mum. i love you.,joy
yamraj.wmv,monisha,mummy ji pata hai shirke sab ne muft mein acting ki. sirf unki costume ke 300 rupaye lage uska aadha ham de denge,joy
yamraj.wmv,maya,monisha please.,contempt
finale.avi,sahil,mr. sindolin ghar mein matlab hamare parivar ke sath 7 sal bad kabhi kuchh achcha bhi hoga? i mean thoda sa,contempt
finale.avi,monisha,han han jaise ki hamen gas ka extra cylinder mila ho yah balcony ko bahar tak khinch kar extra ka kamra banane ki permission di ho municipality ne?,neutral
finale.avi,rosesh,aisa kuchh jahan hamari puri family ek dusre ka sath de rahi ho,neutral
finale.avi,maya,right,neutral
finale.avi,rosesh,aisa kuchh achcha sa dikhaiye na,neutral
finale.avi,indravardhan,ay chambu. ham bahubhai jamuna ka ke pass cut piece centre nahin ja rahe ek shirt piece dikhaiye na,contempt
finale.avi,rosesh,mera matlab hai jahan hamari family ek dusre ko support kar rahi ho ok ,anger
finale.avi,mr. sindolin,ok. ,neutral
finale.avi,sahil,ocean of the unknown,neutral
finale.avi,maya,mountains of mistic,neutral
finale.avi,mr. sindolin,ek minute ek minute mein jaon?,anger
finale.avi,sahil,nahin nahin we are sorry continue,neutral
finale.avi,mr. sindolin,oceans of the unknown mountains of mystique supportive family hand in hand that is what we seek,neutral
finale.avi,vithal,sahil baba bete honi ko kaun tal sakta hai. bete chalo khana khate hain,neutral
finale.avi,sahil,kitna pyar tha ham donon ke bich mein vitthal kaka,sadness
finale.avi,maya,oh my god monisha i think tum gai,fear
finale.avi,monisha,sahil please rona band karo na. ,sadness
finale.avi,monisha,main zinda hoon main zinda hoon,joy
finale.avi,indravardhan,maya mar gai hai,neutral
finale.avi,rosesh,momma,sadness
finale.avi,maya,dekhne do kya ho raha hai,neutral
finale.avi,monisha,thank god khana mil gaya,neutral
finale.avi,sahil,iska matlab khana kho gaya tha?,sadness
finale.avi,monisha,han vah pinku hai na bahut badmash ho gai hai aajkal. aaj to uss kamini ne khana tak chhupa diya. pinku bahar nikal bathroom se,anger
finale.avi,sahil,aisa khana ho to koi bhi chup padega yah hai kya?,anger
finale.avi,monisha,daal aur biryani,neutral
finale.avi,sahil,kaun si yah kali kali,neutral
finale.avi,monisha,vah biryani hai,neutral
finale.avi,sahil,achcha. two blue dal hai,neutral
finale.avi,monisha,blue? daal blue hai dikhao. woh washing machine mein kapde dhote dhote daal banai thi na toh shayad,sadness
finale.avi,sahil,hah? matlab washing machine mein aapane kapdon  ke sath garam masala dal diya?,surprise
finale.avi,monisha,hio rabba main abhi dekh kar aati hun pinku bathroom se bahar nikal,fear
finale.avi,vithal,baba baba main kuchh dusra banaa kar le aata hun,neutral
finale.avi,sahil,nahin nahin vithika ka rahane dijiye mujhe bilkul bhookh nahin hai. mujhe bahut yad a rahi hai,sadness
finale.avi,rosesh,kiski?,neutral
finale.avi,indravardhan,obviously maya ki,neutral
finale.avi,maya,sahil,sadness
finale.avi,sahil,mum,sadness
finale.avi,maya,main hun iska matlab tum indu,neutral
finale.avi,indravardhan,nahin nahin rosesh ki baat ho,fear
finale.avi,maya,sahil darling control kisi na kisi tarah hamen to jina hi hai na. yah dekho obituary bhi chhapke a gai,sadness
finale.avi,indravardhan,is taraf ghumana ham bhi dekhen,neutral
finale.avi,maya,main jid ki tabhi newspaper walon ne yah photo aur shok sabha ki details page 3:00 per chhape. varna obituary page per obituary aana is so middle class,sadness
finale.avi,rosesh,hi momma,neutral
finale.avi,rosesh,yaay whopie i am alive,joy
finale.avi,indravardhan,iska matlab sirf mein baj gaya maya,neutral
finale.avi,maya,on the contrary to nahin bacche indu,fear
finale.avi,rosesh,shradhanjali suniye. kichud kichud kan kan kan achanak dhan tana nan,neutral
finale.avi,rosesh,jindagi ko khatm karne a gaya maran,sadness
finale.avi,maya,oh god,sadness
finale.avi,indravardhan,maya kaun guzar gaya,neutral
finale.avi,maya,thank god hum sab  hai,neutral
finale.avi,rosesh,whoppie,joy
indravadanmissing.avi,monisha," mamee jee, sandwichh?",neutral
indravadanmissing.avi,maya," nahin, nahin, nahin. tum log khao.",sadness
indravadanmissing.avi,monisha," mamee jee, plaiasai kha leejie na? mere khaatir.",neutral
indravadanmissing.avi,maya," monisha, plaiasai.",neutral
indravadanmissing.avi,rosesh," momm, kha leejie na. daddy ko kuchh nahin hua hoga.",neutral
indravadanmissing.avi,sahil," mom ham chaalees offichais ke lifts bhee chhaichk kar aaye hain. dad kisee lift mein nahin hai. you don’t worry, huh?",neutral
indravadanmissing.avi,rosesh," aur ham polichai station bhee gaye the, na, momm. vah daddy kee laash nahin thee na.",neutral
indravadanmissing.avi,dushyant,achchha aap ne wallait chhaichk kiya tha laash ka?,neutral
indravadanmissing.avi,sonya," dushyant, ek baar chahera chhaichk kar liya phir wallait chhaichk karane kee kya zaroorat hai.",anger
indravadanmissing.avi,dushyant," nahin nahin, har tarah kee tasallee karana zarooree hai, sonya. i’ll aixplain.",neutral
indravadanmissing.avi,monisha," jeeja jee, vah laash jis aadamee kee thee, usane khudakhushee kee thee. ab daddy jee bhala khudakhushee kyon karenge?",neutral
indravadanmissing.avi,maya,tumhaare haath kee banee sandwichh khaate to zaroor khudakhushee karane kee koshish karate. is mein chatanee hai ya mirchon ka khet?,disgust
indravadanmissing.avi,monisha," oh my god, bahut teekhee banee hai kya? laie. main us mein gud daalake aatee hoon.",neutral
indravadanmissing.avi,maya," my god! sandwichh mein gud? plaiasai givai mai a braiak, moneesha. rosesh, tumane railway station mein phonai kiya tha na.",neutral
indravadanmissing.avi,dushyant," maine. maine phonai kiya tha. mujhe pata chala hai ki ek achchidaint ho gaya  hai, ek train dairail ho gayee hai. par vah goods train thee. maal gaadee. don’t worry, mom train ko bilkul nuqasaan nahin pahuncha hai. kyonki kya hai, ki train ka aiquilibrium hota hai, vah low hota hai. i’ll aixplain. maan lo ki, rosesh kee kamar, train ka dibba hai.",neutral
indravadanmissing.avi,sonya," dushyant, chhoo chhoo gaadee ham baad mein khelenge. mom, dad ka voodoo chhart bata raha hai, vah kisee gupha mein hai",neutral
indravadanmissing.avi,maya,gupha mein?,surprise
indravadanmissing.avi,rosesh,you maian chavai? lekin dad chavai mein kyon jaenge?,neutral
indravadanmissing.avi,dushyant,soosoo?,neutral
indravadanmissing.avi,rosesh,how gross!,disgust
indravadanmissing.avi,dushyant," naturai’s chall. praissurai badh gaya hoga, to gupha mein. kyonki kidnaiy ka kya hota hai, i’ll aixplain. to rosesh…",neutral
indravadanmissing.avi,rosesh," dushyant main kidnaiy nahin banoonga, okay.",anger
indravadanmissing.avi,dushyant,okay. mom…,neutral
indravadanmissing.avi,maya," nahin, plaiasai, ham sab samajh chuke hain, tum moneesha ko samajhao.",anger
indravadanmissing.avi,monisha," mamee jee, kuchh to kha leejie.",neutral
indravadanmissing.avi,maya," no thanks, beta.",sadness
indravadanmissing.avi,monisha," mamee jee plaiasai. dekhie na, maine sheera banaaya hai.",neutral
indravadanmissing.avi,maya," tab to daifinitaily no thanks, beta",disgust
sharman.wmw,indravardhan,fir to tumhen 100% jail hogi sharman,neutral
sharman.wmw,sharman,it's preposterous uncle partner ke daddy heart attack ka natak kar rahe hain aur kuchh nahin han ,contempt
sharman.wmw,indravardhan,icu mai lete lete,neutral
sharman.wmw,rosesh,hi guys hey sharman what a pleasant surprise. tumhari to shaadi hone wali thi na,joy
sharman.wmw,sharman,uncle man lijiye ki main roses ko thappad mara,neutral
sharman.wmw,indravardhan,theek se samjha actually thappad maar,neutral
sharman.wmw,rosesh,kyuu,surprise
sharman.wmw,indravardhan,are bhai ye apne case ka demonstration dikha raha hai,neutral
sharman.wmw,sharman,lekin uncle rosesh ke bal bhi to jalane padenge na,neutral
sharman.wmw,rosesh,noo,fear
sharman.wmw,indravardhan,haan to jala,neutral
sharman.wmw,sharman,nahin uncle please assume ke main rosesh ko thappad mara rosesh gira hello mein aag lagi ab aapka kya reaction hoga,neutral
sharman.wmw,indravardhan,hahahaha meri zor zor ki fansi ke rukne bad ka reaction na hahaha,joy
sharman.wmw,sharman,"uncle please, it's a serious stuff kya aapko heart attack hoga",neutral
sharman.wmw,indravardhan,"no , i dont think so",neutral
sharman.wmw,sharman,point proved,neutral
sharman.wmw,indravardhan,kyunki jo rosesh ki kavita ko first prize mila tha na tab bhi mujhe heart attack nahin aaya,contempt
sharman.wmw,rosesh,that was a great poem. ok. title tha chappal ki chu chu ne chidiya ki chi chi se chilla chilla kar kaha chidiya ki chup suno chappal ki chu chu ne chidiya ki chi chi se chilla chilla kar kaha,joy
sharman.wmw,indravardhan,chup dekha tumne to iske bal kyon jalane wale the tum yahan kyon aaye ho yah sab chhodkar ja apni kavita sunane baitha ise kavita,anger
sharman.wmw,madhu,hello! good evening indravardhan,joy
sharman.wmw,rosesh,are madhu phufa aapke yahan itna bada bag leke,joy
sharman.wmw,indravardhan,ab mujhe zaroor heart attack ayega,fear
sharman.wmw,madhu,arre sharman tu yahan. everything ok,neutral
sharman.wmw,sharman,yaa i'm  ok,neutral
sharman.wmw,madhu,nahi maine pucha everything ok,neutral
sharman.wmw,sharman,i said i'm ok,anger
sharman.wmw,madhu,yah bahra hai kya,contempt
sharman.wmw,indravardhan,vah chhodo madhusudan bhai aap itna bada briefcase lekar ke yahan kyon aaye ho,fear
sharman.wmw,madhu,bag voh to maiya ne kaha tha ki police welfare assosciation ke liye kuchh chijen donate karni hai toh mai kuch cheejen is me le aya,neutral
sharman.wmw,rosesh,police se yad aaya abhi radio fm mein news flash aaya tha ki mh tu02ak722 ,neutral
sharman.wmw,sharman,yah to meri kar ka number hai indu uncle,fear
sharman.wmw,rosesh,lekin unhone tu kaha usmein ek mujrim faraar hai,neutral
sharman.wmw,indravardhan,han to vah mujrim yahi hai rosesh,anger
sharman.wmw,rosesh,kya kabse,surprise
sharman.wmw,indravardhan,abhi abhi shuru kiya hai side business are bevkuf police bachne ke liye hi to yahan aaya hai,anger
sharman.wmw,rosesh,like a good citizen mein police ko phone kar diya hai ki vah gadi yahi pak hai building ke neeche,neutral
sharman.wmw,indravardhan,bolo,neutral
soniyaprediction.avi,sahil,manisha tum theek to ho,fear
soniyaprediction.avi,monisha,mummy ji theek hai?,neutral
soniyaprediction.avi,maya,han han main bilkul theek hun beta,neutral
soniyaprediction.avi,sahil,to main bilkul theek nahin hun sahil. mujhe bahut dar lag raha hai sahil. help!,fear
soniyaprediction.avi,indravardhan,sahil voh elevator service centre per phone lagaya to pata chala unka chief engineer bahar gaon chala gaya hai ,neutral
soniyaprediction.avi,dushyant,aur junior engineer ko jaundice ho gaya hai,neutral
soniyaprediction.avi,maya,oh god ab kya hoga?,fear
soniyaprediction.avi,dushyant,uska liver kamjor ho jaega aur vah protein or alcohol digest nahin kar payega. i'll explain,neutral
soniyaprediction.avi,indravardhan,nahin to liver maya ko banaa ja,contempt
soniyaprediction.avi,dushyant,mom maan lijije ki aap liver hai,neutral
soniyaprediction.avi,maya,enough dushyant!,anger
soniyaprediction.avi,monisha,aaa! sahil! andar tubelight hai vah bhi kanch ki,fear
soniyaprediction.avi,sahil,monisha maine kitni bar kaha hai tumse ine baton per vishwas mat karo,anger
soniyaprediction.avi,maya,aur tubelight kanch ki nahin hogi aur kis chij ki hogi monisha. hahaha! waise andar kuch kale rang ka hai kya,contempt
soniyaprediction.avi,indravardhan,hai na. jo lift man ka stool hai vah kale hi rang hello nahin kuchh bhi nahin. ka to hai,neutral
soniyaprediction.avi,monisha,sahil sahil mein saanse nahin le pa rahi hun lagta hai oxygen khatm ho raha hai ,fear
soniyaprediction.avi,sahil,tum jindagi bhar is lift mein band rahi na tu bhi oxygen khatm nahin hone wala.,anger
soniyaprediction.avi,indravardhan,aur han jahan tak khane peene ka sawal hai ham vah kisi na kisi tarah dalte rahenge. han sirf tv nahin dekh paogi tum,neutral
soniyaprediction.avi,sahil,dad! please.,contempt
soniyaprediction.avi,rosesh,galat time par galat baat karna dad ka nature hai,anger
soniyaprediction.avi,indravardhan,really ,contempt
soniyaprediction.avi,rosesh,hatie hatie. bhabhi! maine aapke liye shradhanjali likhi hai. kaisi lagi bataiyega. hamen pata nahin tha jara bhi ki lift mein hi chal jayegi bhabhi. hum,neutral
soniyaprediction.avi,sahil,rosesh out! out!,anger
soniyaprediction.avi,rosesh,main ghar ke out hi to hun,neutral
soniyaprediction.avi,sahil,so go in. dad ine donon ko aap in le jaaiye,anger
soniyaprediction.avi,indravardhan,chalo chalo,anger
soniyaprediction.avi,monisha,aaaaaa! sahil lift hil rahi. lift hai jhatke de rahi hai. main upar ja rahi hoon sahil.  main bhagwan ke ghar ja rahi hoon,fear
soniyaprediction.avi,sahil,tumhen kuchh nahin hoga shut up,anger
soniyaprediction.avi,monisha,sahil,fear
soniyaprediction.avi,sahil,lft khul chuki haii. please bahar aayi. come out. hamesha jaldbazi mein ground floor ka button ke bajeye top ka button dabba ti tum,anger
soniyaprediction.avi,monisha,"nai sahil iss baar maine theek button  dabaya tha. lekin stop ke button pe jo bhindi thina, usse nikal rahi thi",sadness
soniyaprediction.avi,sahil,are jarurat kya thi tumhen yah manhoos bhindi vahan se uthane ki,anger
soniyaprediction.avi,maya,sahil shant ho jao. vaise hi yah vichari kitni gairi hui hai. tum use aur dant rahe ho. come on beta come on. bass ab rona band karo. are chodo se chodo chodo. monisha monisha!,neutral
soniyaprediction.avi,indravardhan,are sahil! ,neutral
soniyaprediction.avi,maya,tum suno you are safe ab sab kuch thik thak ho gaya tum chup karo rona,neutral
soniyaprediction.avi,monisha,mummy ji main bahut dar gai thi. agar mujhe kuchh ho jata toh sahil ka kya hota,sadness
soniyaprediction.avi,maya,vah sab to theek hai per kuchh nahin hua hai na to main agar soniya ki bhavishyvani sach hone wali hai aur ham mein se koi ek marne wala hai aaj ,neutral
soniyaprediction.avi,monisha,aaaaaa,sadness
soniyaprediction.avi,maya,yah mein ya tum. toh isn't it better ki ham yah aakhiri din shanti se bitaen ,neutral
soniyaprediction.avi,monisha,aaaaaahaaa,sadness
soniyaprediction.avi,maya,like mature sensible people. manisha sundar hi hona ,neutral
soniyaprediction.avi,monisha,aaaahaaaa,sadness
soniyaprediction.avi,maya,kyunki is tarah ka rona dhona shor machaya corridor mein is too middle class. chalo tum.,contempt
bachelor.wmv,monisha,keya bigara hai maine tera? haa,anger
bachelor.wmv,maya,mera table. dekho kitna ganda kar diya. ,sadness
bachelor.wmv,monisha,"bigarne de, bigarne de. mana ki tu har cheez me mujhse better hai, ghar sajane main, khana pakane main, kapre pahenne main. ",anger
bachelor.wmv,maya,kapre pahenne main monisha? ,disgust
bachelor.wmv,monisha,tune mujhe toka?,anger
bachelor.wmv,maya,sorry,fear
bachelor.wmv,monisha,nehi mention not,neutral
bachelor.wmv,maya,"it's all right hai kahte hain monisha, for god's sake, mention not ",disgust
bachelor.wmv,monisha,tune mujhe firse toka?,anger
bachelor.wmv,maya,har cheez mai middle class,disgust
bachelor.wmv,monisha,teri toh mai,anger
bachelor.wmv,maya,"aaaaah, indu indu",fear
bachelor.wmv,monisha,"kab tak tokega haa? tok tok tok tok tokte rahti hai. kash ki tune iye mobile phone hoti, kamse kam tera toka toh limited hota ",anger
bachelor.wmv,monisha,samjhi? tok tok tok tok ,joy
bachelor.wmv,maya,"samaj gayi, mai janti hun ki mai tujse har cheez mai better hu, lekin tera dil mujhse better hai. ",contempt
bachelor.wmv,monisha,haa,neutral
bachelor.wmv,maya,thora sa. and i hate you for it. ,contempt
bachelor.wmv,monisha,you hate me?,neutral
bachelor.wmv,maya,i hate you. ,disgust
bachelor.wmv,monisha,you hate me mayapuri? ,contempt
bachelor.wmv,maya,i hate you. ,disgust
bachelor.wmv,monisha,i haat you.,disgust
bachelor.wmv,maya,"monisha, hurt hota hai, not haat ",disgust
bachelor.wmv,monisha,haat. tu haat. sahil. ,joy
cricket.wmv,rosesh,"okay momma, ish clue ke hisaab se iye ",neutral
cricket.wmv,maya,"rosesh, wo trophy tumhare kaan me toh nehi hogi na? ",contempt
cricket.wmv,rosesh,"oh right momma, agar hoti toh mujhe toh pata chalta hi. lekin momma kaha chupayi hoge sahil bhai ne trophy? maine ek ek kona chan mara hai. iye dekhiye, 27 wa namkeen ka packet. aur iye bag bharke faltu jokes pokes. aur iye, sabun ke dibbe ke andar chocolates. pata nehi kaha rakhi hogi. isme se bhi? mere lagbhag 135 kavitaye dad ne chupahi he. see this one was my favourite momma. gutter ka medhak, trau trau trau",sadness
cricket.wmv,maya,"okay rosesh, i am sure that this is wonderful sweety. lekin abhi hamare paas iske liye wakt nehi hai na",contempt
cricket.wmv,rosesh,right,neutral
cricket.wmv,maya,monisha se pahle sahil ke samne hume wo trophy rakhni hai na,neutral
cricket.wmv,rosesh,toh ab keya kare momma? ,fear
cricket.wmv,maya ,well wo trophy nehi mil rahi hai toh market se ek aaise hi dusri trophy le karke hum sahil ko de sakti hai nehi? ,neutral
cricket.wmv,rosesh,you mean aise hi trophy khareed karke hum sahil bhai se kahenge ki sahil bhai hum e trophy mil gayi ,neutral
cricket.wmv,maya,ha,neutral
cricket.wmv,rosesh,momma,contempt
cricket.wmv,maya,"are rosesh iye ek choti si innocent si bilkul masum si nirdosh cheating kahi ja sakti hai lekin acche kam ke liye hai. sahil ki bhalai ke liye hai. jara socho, agar sahil monisha ko le karke ush party me jayega toh uske reputation ka keya hoga? isi liye ek chota sa jhunt bolna is not wrong na? is not wrong na? ",neutral
cricket.wmv,rosesh,no. krishna bhagwan ne bhi iye hi kaha hai ki jisme dusro ki bhalai ho aisa jhoot bol sakta hai.  ,neutral
cricket.wmv,maya,right,neutral
cricket.wmv,rosesh,toh momma chaliye na duplicate trophy le kar aye ,neutral
cricket.wmv,maya,kam me deri kyun? maine already wo trophy khareed ke rakh liye hai. ,joy
cricket.wmv,rosesh,momma ,joy
husbandsdonotcheat.avi,sahil,darling hamare ghar me mirchi ka anchar nehi banta na ,neutral
husbandsdonotcheat.avi,monisha ,tumhe mirchi hajam kaha hoti hai?,neutral
husbandsdonotcheat.avi,sahil,aaj tak aadat nehi dali isi liye. but i think we should give it a try. khane me jara swad barega. ,neutral
husbandsdonotcheat.avi,monisha ,mirchi,sadness
introductiontothesarabhaifamily.avi,maya,sahil. monisha hain ghar mein?,joy
introductiontothesarabhaifamily.avi,sahil,na nahi mom.,joy
introductiontothesarabhaifamily.avi,maya,to suno. sahil monisha se saadi kaarke tum bohot badi galti ki.,sadness
introductiontothesarabhaifamily.avi,sahil,mom!,neutral
introductiontothesarabhaifamily.avi,maya,"nahi agar tum nahi sunna cahati ho to mein chali jaati hoon yaha se. i have to tell you ki wo mrs samtaani ke champange party mein kya kiya. usne doodh maanga. wo bhi maasale wala. aue jab saab loog ne cheers kaha to wo ne bola ""cheers ki kya jaroorat hain, sofa to hain na gham mein"" aur phir aapne ki joke mein hi zor zor se haasi. aue jab aur koi ne haasa to wo ne joke saamjhaya. ki cheers chairs kursi. aue phir ussi ne sabke saamne chamcha maanga. chancha.",disgust
introductiontothesarabhaifamily.avi,sahil,mom chamach maangne mein kya burayi hain!,neutral
introductiontothesarabhaifamily.avi,maya,glass mein jama huya maasala khaane ke liye. aue phir ussne glaas eyaaa karke khaali kiya. cortesy ki khaatir cheers bhi nahi kaha usne.,contempt
introductiontothesarabhaifamily.avi,sahil,mein unse kaahunga,neutral
introductiontothesarabhaifamily.avi,maya,absolutely!,anger
introductiontothesarabhaifamily.avi,sahil,ki kam se kam cheers to kahena cahiye!,neutral
introductiontothesarabhaifamily.avi,maya,right!,neutral
introductiontothesarabhaifamily.avi,sahil,ki bhaleyi haat mein doodh ka glass kyu na ho.,neutral
introductiontothesarabhaifamily.avi,maya,"absolutely, lekin please tum usse strict ho kar baat karna sakt sabdo mein. jusr say monisha…monishaa! hello! my darling!",joy
jugalkishore.wmv,jugalkishore,yaha rehkar mein usse dur nahi reh payoonga monisha!,sadness
jugalkishore.wmv,monisha,pagal ho gaya tu jugal! ek baar peheli baar deekha aur deekhte hi pyaar ho gaya? atey naisha maussi ki 50% doscount ki coupan hain,anger
jugalkishore.wmv,jugalkishore,arey mujhe to wo 75% ki doscount ki coupon jaise pyaare laagi monisha.,sadness
jugalkishore.wmv,monisha,chalo mana. mana ki hoongi wo tere 75% discount waala coupon jaisi pyaari lekin srif discount pe mat ja jugal. sale mein akhir hain kya ye to dekh! dhokha kha gaya to?,anger
jugalkishore.wmv,jugalkishore,aisa mat bol monisha!,fear
jugalkishore.wmv,monisha,us din mega mall pe plastic ki cheezon pe 50% ki sale chal rahi thi. deewano ki tarah bhaagti hui wahan gayi aur 2 balti aur 7 drum khareedkar le aayi. par pata hain kya hua? a mere saath….dekh dekh iss gamle ko. garam sanbhar daalte hi plastic pighal gaya. ab ye srif thandi cheezein rakhne ke kaam aata hain. dekha?,sadness
jugalkishore.wmv,jugalkishore,"monisha, ek tumbler kharaab ko kya saare tumbler kharaab? kal kya tu nahi kaha ki wahan se tu jo balti khareeda tha wo bohot majboot aur paisa wasool nikli?",neutral
jugalkishore.wmv,monisha,kaha tha!,sadness
jugalkishore.wmv,jugalkishore,"fir? ho saakta ki naisha tumbler nahi, baalti ho!",sadness
lease1.wmv,sonya,"mom, guru saaf saaf bata raha hain ki lease ke papers salamat hain, ehi kahi hain",surprise
