episode,speakers,utterances,emotions,cleaned_utterances,hindi_utterances,english_utterances
roseshantstobeadopted.wmv,rosesh,"""my darling husband indravadan"" yah to momma ki handwriting hai...",neutral,darling husband indravadan yah momma ki handwriting hai,"""म्य् दर्लिन्ग् हुस्बन्द् इन्द्रवदन्"" यह् तो मोम्म कि हन्द्व्रितिन्ग् है॥।","""my darling husband indravadan"" this is momma's handwriting..."
roseshantstobeadopted.wmv,maya,"darling i know ki ham do hamare do is so middle class. isiliye to humne teesra bachcha plan kiya tha haina? lekin present circumstances ko dekh ke i am not so sure. is topic pe main tumse baat nahin kar sakti isiliye khat likh rahi hun, but kya hamen sachmuch mein yah teesra baccha. i am so confused indravadan",sadness,darling know ki ham hamare middle class isiliye humne teesra bachcha plan kiya tha haina lekin present circumstance ko dekh ke sure topic pe main tumse baat nahin kar sakti isiliye khat likh rahi hun kya haman sachmuch mein yah teesra baccha confused indravadan,"दर्लिन्ग् इ क्नोव् कि हम् दो हमरे दो इस् सो मिद्द्ले च्लस्स्। इसिलिये तो हुम्ने तीस्र बच्च प्लन् किय थ हैन? लेकिन् प्रेसेन्त् चिर्चुम्स्तन्चेस् को देख् के इ अम् नोत् सो सुरे। इस् तोपिच् पे मैन् तुम्से बात् नहिन् कर् सक्ति इसिलिये खत् लिख् रहि हुन्, बुत् क्य हमेन् सच्मुच् मेइन् यह् तीस्र बच्च। इ अम् सो चोन्फ़ुसेद् इन्द्रवदन्","darling i know what we do, what we do is so middle class. That's why we have planned our third child? But looking at the present circumstances I am not so sure. I can't talk to you mainly about this topic, that's why I am writing this letter, but what am I really like, this third child. i am so confused indravadan"
roseshantstobeadopted.wmv,rosesh,momma...,sadness,momma,मोम्म॥।,Mom...
video1.wmv,kismi,excuse me,neutral,excuse,एक्ष्चुसे मे,excuse me
video1.wmv,rosesh,kaun hai kaun hai?,fear,kaun hai kaun hai,कौन् है कौन् है?,who is who?
video1.wmv,kismi,mai kismi,neutral,mai kismi,मै किस्मि,my variety
video1.wmv,rosesh,kis meethi raat gaye,neutral,ki meethi raat gaye,किस् मीथि रात् गये,what a sweet night it was
video1.wmv,kismi,han vah sorry aapko disturb kiya so rahe the aap,neutral,han vah sorry aapko disturb kiya rahe aap,हन् वह् सोर्र्य् आप्को दिस्तुर्ब् किय सो रहे थे आप्,han vaah sorry aapko kiya so stay the aap
video1.wmv,rosesh,nahin bus thodi si nind aa gai thi. sorry han ,joy,nahin bus thodi si nind aa gai thi sorry han,नहिन् बुस् थोदि सि निन्द् आ गै थि। सोर्र्य् हन् ,Nothing but a little sleep and I fell asleep. sorry han
video1.wmv,kismi,sorry kya. baje raat ke 3:30 baje hain. sabko hi nind aati hai. bus mujhe hi nind nahin aati hai,sadness,sorry kya baje raat ke baje hain sabko hi nind aati hai bus mujhe hi nind nahin aati hai,सोर्र्य् क्य। बजे रात् के ३:३० बजे हैन्। सब्को हि निन्द् आति है। बुस् मुझे हि निन्द् नहिन् आति है,sorry what? It's 3:30 in the night. Everyone is sleeping. I just can't sleep
video1.wmv,rosesh,kismi don't cry. try counting sheep,neutral,kismi cry try counting sheep,किस्मि दोन्'त् च्र्य्। त्र्य् चोउन्तिन्ग् शीप्,kismi don't cry. try counting sheep
video1.wmv,kismi,kya?,neutral,kya,क्य?,what?
video1.wmv,rosesh,man mein bed bakriyan gino,neutral,man mein bed bakriyan gino,मन् मेइन् बेद् बक्रियन् गिनो,man mein bed bakriyan gino
video1.wmv,kismi,"ab tak 16,824 bed bakri gin chauki mein. apne jaitpur gaon ki",sadness,ab tak bed bakri gin chauki mein apne jaitpur gaon ki,"अब् तक् १६,८२४ बेद् बक्रि गिन् चौकि मेइन्। अप्ने जैत्पुर् गओन् कि","Till now 16,824 beds have been opened in Chauki. of my jaitpur village"
video1.wmv,rosesh,toh?,neutral,toh,तोह्?,toh?
video1.wmv,kismi,toh octroi wale aaye mere man mein sawal karne lage. itni sari bade bakriyan lai ho to unka octroi kyon nahin bhara,neutral,toh octroi wale aaye mere man mein sawal karne lage itni sari bade bakriyan lai ho unka octroi kyon nahin bhara,तोह् ओच्त्रोइ वले आये मेरे मन् मेइन् सवल् कर्ने लगे। इत्नि सरि बदे बक्रियन् लै हो तो उन्क ओच्त्रोइ क्योन् नहिन् भर,"Those octroi eyes started making me question my mind. You have brought so many bad baked goods to your octroi, why not?"
video1.wmv,rosesh,kismi mujhe lagta hai ki tum jyada hi imaginative ho,joy,kismi mujhe lagta hai ki tum jyada hi imaginative ho,किस्मि मुझे लग्त है कि तुम् ज्यद हि इमगिनतिवे हो,somehow I think you are more imaginative
video1.wmv,kismi,nahin re nahin imaginative hoti to train ki dhad dhad imagine nahin kar leti main. mujhe na train ki awaaz sunkar hi sone ki aadat hai. aapko koi aisi aadat hai,neutral,nahin nahin imaginative hoti train ki dhad dhad imagine nahin kar leti main mujhe na train ki awaaz sunkar hi sone ki aadat hai aapko koi aisi aadat hai,नहिन् रे नहिन् इमगिनतिवे होति तो त्रैन् कि धद् धद् इमगिने नहिन् कर् लेति मैन्। मुझे न त्रैन् कि अवाज़् सुन्कर् हि सोने कि आदत् है। आप्को कोइ ऐसि आदत् है,"There is no need to be imaginative to train, no one can even imagine. I have a habit of falling asleep listening to the sound of the train. Do you have such a habit?"
video1.wmv,rosesh,bahut pahle ek buri aadat ki,neutral,bahut pahle ek buri aadat ki,बहुत् पह्ले एक् बुरि आदत् कि,committed a bad habit long ago
video1.wmv,kismi,kya?,neutral,kya,क्य?,what?
video1.wmv,rosesh,angutha chusne ki,neutral,angutha chusne ki,अन्गुथ चुस्ने कि,thumb sucking
video1.wmv,kismi,angutha chusne ki aadat buri kaise hovi?,surprise,angutha chusne ki aadat buri kaise hovi,अन्गुथ चुस्ने कि आदत् बुरि कैसे होवि?,How to get rid of the habit of thumb sucking?
video1.wmv,rosesh,pair ka,neutral,pair ka,पैर् क,pair of
video1.wmv,kismi,ahan,neutral,ahan,अहन्,ahan
video1.wmv,rosesh,pair ulta karke i'll show you. yeh aese. aaaa. aaaa,sadness,pair ulta karke show yeh aese aaaa aaaa,पैर् उल्त कर्के इ'ल्ल् शोव् योउ। येह् अएसे। आआ। आआ,Pair reversely I'll show you. this is this. aaa. aaa
video1.wmv,kismi,kya hua rosesh kya hua?,fear,kya hua rosesh kya hua,क्य हुअ रोसेश् क्य हुअ?,what happened rosesh what happened?
video1.wmv,rosesh,nass pe nass chad gayi! my back,sadness,na pe na chad gayi back,नस्स् पे नस्स् चद् गयि! म्य् बच्क्,Nass on Nass Chad Gayi! my back
video1.wmv,kismi,ek minute ek minute. hilna mat hilna mat hilna mat. ruko ruko. yeh yah yahan dukh raha hai,neutral,ek minute ek minute hilna mat hilna mat hilna mat ruko ruko yeh yah yahan dukh raha hai,एक् मिनुते एक् मिनुते। हिल्न मत् हिल्न मत् हिल्न मत्। रुको रुको। येह् यह् यहन् दुख् रह है,One minute one minute. moving the mat moving the mat moving the mat. wait wait. it's sad here
video1.wmv,rosesh,momma,sadness,momma,मोम्म,momma
video1.wmv,kismi,shhh. shanti shanti ek minute 1 2 3,neutral,shhh shanti shanti ek minute,ष्ह्। शन्ति शन्ति एक् मिनुते १ २ ३,shhh. peace peace one minute 1 2 3
video1.wmv,rosesh,dard chala gaya kismi,joy,dard chala gaya kismi,दर्द् चल गय किस्मि,kind of pain
video1.wmv,kismi,han,joy,han,हन्,han
video1.wmv,rosesh,you are amazing,joy,amazing,योउ अरे अमज़िन्ग्,you are amazing
video1.wmv,kismi,vah kya hai na mere mama ki na cycle repair karne ki dukaan hai,joy,vah kya hai na mere mama ki na cycle repair karne ki dukaan hai,वह् क्य है न मेरे मम कि न च्य्च्ले रेपैर् कर्ने कि दुकान् है,What is there? My mother has a cycle repair shop.
video1.wmv,rosesh,toh?,neutral,toh,तोह्?,toh?
video1.wmv,kismi,vah side mein ka bhi karte hain. hadiya jodne ka bhi aata hai unhen,neutral,vah side mein ka bhi karte hain hadiya jodne ka bhi aata hai unhen,वह् सिदे मेइन् क भि कर्ते हैन्। हदिय जोद्ने क भि आत है उन्हेन्,They do it on that side too. He has also come to give a gift.
video1.wmv,rosesh,ok,neutral,ok,ओक्,ok
video1.wmv,kismi,unse sikha maine,joy,unse sikha maine,उन्से सिख मैने,I learned from him
video1.wmv,rosesh,really?,joy,really,रेअल्ल्य्?,really?
video1.wmv,kismi,han chaluth hai re. good night ,neutral,han chaluth hai good night,हन् चलुथ् है रे। गूद् निघ्त् ,han chalu hai re. good night
video1.wmv,rosesh,kismi kismi. baitho na tumhen gehri neend sona hai na,neutral,kismi kismi baitho na tumhen gehri neend sona hai na,किस्मि किस्मि। बैथो न तुम्हेन् गेह्रि नीन्द् सोन है न,"different types. I am sitting in your deep sleep, isn't it?"
video1.wmv,kismi,haan,sadness,haan,हान्,haan
video1.wmv,rosesh,tumhen main apne natak ka dialogue sunao?,neutral,tumhen main apne natak ka dialogue sunao,तुम्हेन् मैन् अप्ने नतक् क दिअलोगुए सुनओ?,Can you recite the dialogue of your play in your mind?
video1.wmv,kismi,tumhare natak ke dialogue sun ke log so jaate hain,neutral,tumhare natak ke dialogue sun ke log jaate hain,तुम्हरे नतक् के दिअलोगुए सुन् के लोग् सो जाते हैन्,The dialogues of your drama go like this
video1.wmv,rosesh,nahin yah ek special natak tha jismein mein train ka dabba banaa tha,neutral,nahin yah ek special natak tha jismein mein train ka dabba banaa tha,नहिन् यह् एक् स्पेचिअल् नतक् थ जिस्मेइन् मेइन् त्रैन् क दब्ब बना थ,"No, this was a special drama in which the train's box was made."
video1.wmv,kismi,train ka dabba?,neutral,train ka dabba,त्रैन् क दब्ब?,train box?
video1.wmv,rosesh,han aise aur mera dialogue tha. train noises.,joy,han aise aur mera dialogue tha train noise,हन् ऐसे और् मेर दिअलोगुए थ। त्रैन् नोइसेस्।,That's how my dialogue was. train noises.
yamraj.wmv,rosesh,oh my god yamraj uncle. mama aap night gown main corridor mein,surprise,oh god yamraj uncle mama aap night gown main corridor mein,ओह् म्य् गोद् यम्रज् उन्च्ले। मम आप् निघ्त् गोव्न् मैन् चोर्रिदोर् मेइन्,oh my god yamraj uncle. mama your night gown main corridor mein
yamraj.wmv,maya,o just forget about it. indu indu,fear,forget indu indu,ओ जुस्त् फ़ोर्गेत् अबोउत् इत्। इन्दु इन्दु,o just forget about it. indu indu
yamraj.wmv,rosesh,mom dad ki pulse nahi hai. dad gaye,sadness,mom dad ki pulse nahi hai dad gaye,मोम् दद् कि पुल्से नहि है। दद् गये,Mom and Dad have no pulse. dad gaye
yamraj.wmv,maya,what rubbish yamraj ji e aap abhi ke abhi isse zinda karo come on,anger,rubbish yamraj ji e aap abhi ke abhi isse zinda karo come,व्हत् रुब्बिश् यम्रज् जि ए आप् अभि के अभि इस्से ज़िन्द करो चोमे ओन्,What rubbish Yamraj ji you are keeping alive now?
yamraj.wmv,yamraj,vah re kalyug ki savitri. mein chalta hun,contempt,vah kalyug ki savitri mein chalta hun,वह् रे कल्युग् कि सवित्रि। मेइन् चल्त हुन्,There she is Kalyug's savitri. I am walking
yamraj.wmv,maya,nahin nahin nahin please rukiye. please mere pati ko wapas jinda kar dijiye please,sadness,nahin nahin nahin please rukiye please mere pati ko wapas jinda kar dijiye please,नहिन् नहिन् नहिन् प्लेअसे रुकिये। प्लेअसे मेरे पति को वपस् जिन्द कर् दिजिये प्लेअसे,No no no no no please stop. please bring my husband back alive please
yamraj.wmv,yamraj,uske alava dusra kuch mangi hai maya. aur han so santan chahie vah wali trick nahin mat aajmana,neutral,uske alava dusra kuch mangi hai maya aur han santan chahie vah wali trick nahin mat aajmana,उस्के अलव दुस्र कुच् मन्गि है मय। और् हन् सो सन्तन् चहिए वह् वलि त्रिच्क् नहिन् मत् आज्मन,"Apart from that, Maya has asked for something else. And why don't you want a child?"
yamraj.wmv,indravardhan,are nahin yamraj ji wo aisi koi chij mange bhi na to kabhi tathasthu hargiz mat kahan. agar 100 rosesh paida ho gaye to hamara kya hoga,fear,nahin yamraj ji wo aisi koi chij mange bhi na kabhi tathasthu hargiz mat kahan agar rosesh paida ho gaye hamara kya hoga,अरे नहिन् यम्रज् जि वो ऐसि कोइ चिज् मन्गे भि न तो कभि तथस्थु हर्गिज़् मत् कहन्। अगर् १०० रोसेश् पैद हो गये तो हमर क्य होग,"There is no Yamraj ji, even if he asks for something like this, he will never say anything to you. What will happen to us if 100 roses are paid?"
yamraj.wmv,maya,o just shut up yah waqt hai joke karne ka. hello indravardhan,contempt,shut yah waqt hai joke karne ka hello indravardhan,ओ जुस्त् शुत् उप् यह् वक़्त् है जोके कर्ने क। हेल्लो इन्द्रवर्धन्,o just shut up this is the time to joke. hello indravardhan
yamraj.wmv,everyone,everyone sings,joy,everyone sings,एवेर्योने सिन्ग्स्,everybody sings
yamraj.wmv,maya,yah sab tum logon ka natak tha mujhe pahle se hi pata tha,neutral,yah sab tum logon ka natak tha mujhe pahle se hi pata tha,यह् सब् तुम् लोगोन् क नतक् थ मुझे पह्ले से हि पत थ,I already knew that this was all a drama of you guys.
yamraj.wmv,indravardhan,abhi thodi der pahle tu ro rahi thi. sahil maine kaha tha na ham donon ke bich mein koi bhi problem ho lekin waqt aane per yah mere liye sati savitri jarur banegi,joy,abhi thodi der pahle tu ro rahi thi sahil maine kaha tha na ham donon ke bich mein koi bhi problem ho lekin waqt aane per yah mere liye sati savitri jarur banegi,अभि थोदि देर् पह्ले तु रो रहि थि। सहिल् मैने कह थ न हम् दोनोन् के बिच् मेइन् कोइ भि प्रोब्लेम् हो लेकिन् वक़्त् आने पेर् यह् मेरे लिये सति सवित्रि जरुर् बनेगि,"Just a little while ago you were crying. Sahil said that there will be no problem between us but when the time comes, Sati Savitri will definitely be made for me."
yamraj.wmv,rosesh,and momma meet him this is ramesh shirke stage actor,joy,momma meet ramesh shirke stage actor,अन्द् मोम्म मीत् हिम् थिस् इस् रमेश् शिर्के स्तगे अच्तोर्,and momma meet him this is ramesh shirke stage actor
yamraj.wmv,yamraj,hello,joy,hello,हेल्लो,Hello
yamraj.wmv,maya,i hate him.,joy,hate,इ हते हिम्।,i hate him.
yamraj.wmv,monisha,mummy ji yah ine sab ki mili bhagat thi,joy,mummy ji yah ine sab ki mili bhagat thi,मुम्म्य् जि यह् इने सब् कि मिलि भगत् थि,Mummy ji is the one who met everyone.
yamraj.wmv,indravardhan,han taki wedding anniversary ki party se pahle thoda maja a jaaye,joy,han taki wedding anniversary ki party se pahle thoda maja jaaye,हन् तकि वेद्दिन्ग् अन्निवेर्सर्य् कि पर्त्य् से पह्ले थोद मज अ जाये,Why don't you have some fun before the wedding anniversary party?
yamraj.wmv,sahil,i'm sorry mum. i love you.,joy,sorry mum love,इ'म् सोर्र्य् मुम्। इ लोवे योउ।,I'm sorry mom. i love you.
yamraj.wmv,monisha,mummy ji pata hai shirke sab ne muft mein acting ki. sirf unki costume ke 300 rupaye lage uska aadha ham de denge,joy,mummy ji pata hai shirke sab ne muft mein acting ki sirf unki costume ke rupaye lage uska aadha ham de denge,मुम्म्य् जि पत है शिर्के सब् ने मुफ़्त् मेइन् अच्तिन्ग् कि। सिर्फ़् उन्कि चोस्तुमे के ३०० रुपये लगे उस्क आध हम् दे देन्गे,Mummy has learned that everyone acted for free. Only 300 rupees for his costume will cost him half of my money.
yamraj.wmv,maya,monisha please.,contempt,monisha please,मोनिश प्लेअसे।,monisha please.
finale.avi,sahil,mr. sindolin ghar mein matlab hamare parivar ke sath 7 sal bad kabhi kuchh achcha bhi hoga? i mean thoda sa,contempt,sindolin ghar mein matlab hamare parivar ke sath sal bad kabhi kuchh achcha bhi hoga mean thoda sa,म्र्। सिन्दोलिन् घर् मेइन् मत्लब् हमरे परिवर् के सथ् ७ सल् बद् कभि कुछ् अच्च भि होग? इ मेअन् थोद स,"mr. Sindolin ghar mein meaning, will anything good ever happen with our family after 7 years? i mean a little bit"
finale.avi,monisha,han han jaise ki hamen gas ka extra cylinder mila ho yah balcony ko bahar tak khinch kar extra ka kamra banane ki permission di ho municipality ne?,neutral,han han jaise ki haman gas ka extra cylinder mila ho yah balcony ko bahar tak khinch kar extra ka kamra banane ki permission di ho municipality ne,हन् हन् जैसे कि हमेन् गस् क एक्ष्त्र च्य्लिन्देर् मिल हो यह् बल्चोन्य् को बहर् तक् खिन्च् कर् एक्ष्त्र क कम्र बनने कि पेर्मिस्सिओन् दि हो मुनिचिपलित्य् ने?,"Yes, as if we have got an extra cylinder of gas, has the municipality given permission to extend the balcony to the outside and make an extra room?"
finale.avi,rosesh,aisa kuchh jahan hamari puri family ek dusre ka sath de rahi ho,neutral,aisa kuchh jahan hamari puri family ek dusre ka sath de rahi ho,ऐस कुछ् जहन् हमरि पुरि फ़मिल्य् एक् दुस्रे क सथ् दे रहि हो,Somewhere like this our entire family is living with each other.
finale.avi,maya,right,neutral,right,रिघ्त्,right
finale.avi,rosesh,aisa kuchh achcha sa dikhaiye na,neutral,aisa kuchh achcha sa dikhaiye na,ऐस कुछ् अच्च स दिखैये न,let's show you such a nice thing
finale.avi,indravardhan,ay chambu. ham bahubhai jamuna ka ke pass cut piece centre nahin ja rahe ek shirt piece dikhaiye na,contempt,ay chambu ham bahubhai jamuna ka ke pas cut piece centre nahin ja rahe ek shirt piece dikhaiye na,अय् चम्बु। हम् बहुभै जमुन क के पस्स् चुत् पिएचे चेन्त्रे नहिन् ज रहे एक् शिर्त् पिएचे दिखैये न,"hey chambu. Ham Bahubhai Jamuna's pass cut piece is not in the center, please show me a shirt piece."
finale.avi,rosesh,mera matlab hai jahan hamari family ek dusre ko support kar rahi ho ok ,anger,mera matlab hai jahan hamari family ek dusre ko support kar rahi ho ok,मेर मत्लब् है जहन् हमरि फ़मिल्य् एक् दुस्रे को सुप्पोर्त् कर् रहि हो ओक् ,I mean Jahan our family is supporting each other ok
finale.avi,mr. sindolin,ok. ,neutral,ok,ओक्। ,okay.
finale.avi,sahil,ocean of the unknown,neutral,ocean unknown,ओचेअन् ओफ़् थे उन्क्नोव्न्,ocean of the unknown
finale.avi,maya,mountains of mistic,neutral,mountain mistic,मोउन्तैन्स् ओफ़् मिस्तिच्,mountains of mystic
finale.avi,mr. sindolin,ek minute ek minute mein jaon?,anger,ek minute ek minute mein jaon,एक् मिनुते एक् मिनुते मेइन् जओन्?,Go in one minute one minute?
finale.avi,sahil,nahin nahin we are sorry continue,neutral,nahin nahin sorry continue,नहिन् नहिन् वे अरे सोर्र्य् चोन्तिनुए,nahin nahin we are sorry continue
finale.avi,mr. sindolin,oceans of the unknown mountains of mystique supportive family hand in hand that is what we seek,neutral,ocean unknown mountain mystique supportive family hand hand seek,ओचेअन्स् ओफ़् थे उन्क्नोव्न् मोउन्तैन्स् ओफ़् म्य्स्तिक़ुए सुप्पोर्तिवे फ़मिल्य् हन्द् इन् हन्द् थत् इस् व्हत् वे सीक्,oceans of the unknown mountains of mystic supportive family hand in hand that is what we seek
finale.avi,vithal,sahil baba bete honi ko kaun tal sakta hai. bete chalo khana khate hain,neutral,sahil baba bete honi ko kaun tal sakta hai bete chalo khana khate hain,सहिल् बब बेते होनि को कौन् तल् सक्त है। बेते चलो खन खते हैन्,Who can tell who is the mother of father and daughter? come on let's eat food
finale.avi,sahil,kitna pyar tha ham donon ke bich mein vitthal kaka,sadness,kitna pyar tha ham donon ke bich mein vitthal kaka,कित्न प्यर् थ हम् दोनोन् के बिच् मेइन् वित्थल् कक,how much love we had between each other
finale.avi,maya,oh my god monisha i think tum gai,fear,oh god monisha think tum gai,ओह् म्य् गोद् मोनिश इ थिन्क् तुम् गै,oh my god monisha i think you are gay
finale.avi,monisha,sahil please rona band karo na. ,sadness,sahil please rona band karo na,सहिल् प्लेअसे रोन बन्द् करो न। ,sahil please rona band karo na.
finale.avi,monisha,main zinda hoon main zinda hoon,joy,main zinda hoon main zinda hoon,मैन् ज़िन्द हून् मैन् ज़िन्द हून्,Main Zinda Hoon Main Zinda Hoon
finale.avi,indravardhan,maya mar gai hai,neutral,maya mar gai hai,मय मर् गै है,Maya is dead
finale.avi,rosesh,momma,sadness,momma,मोम्म,momma
finale.avi,maya,dekhne do kya ho raha hai,neutral,dekhne kya ho raha hai,देख्ने दो क्य हो रह है,let's see what's going on
finale.avi,monisha,thank god khana mil gaya,neutral,thank god khana mil gaya,थन्क् गोद् खन मिल् गय,thank god I got food
finale.avi,sahil,iska matlab khana kho gaya tha?,sadness,iska matlab khana kho gaya tha,इस्क मत्लब् खन खो गय थ?,What does it mean? Where was the food?
finale.avi,monisha,han vah pinku hai na bahut badmash ho gai hai aajkal. aaj to uss kamini ne khana tak chhupa diya. pinku bahar nikal bathroom se,anger,han vah pinku hai na bahut badmash ho gai hai aajkal aaj us kamini ne khana tak chhupa diya pinku bahar nikal bathroom se,हन् वह् पिन्कु है न बहुत् बद्मश् हो गै है आज्कल्। आज् तो उस्स् कमिनि ने खन तक् छुप दिय। पिन्कु बहर् निकल् बथ्रूम् से,"Yes, that's Pinku, he is becoming very badass these days. Today Kamini hid till the food from us. pinku bahar came out of the bathroom"
finale.avi,sahil,aisa khana ho to koi bhi chup padega yah hai kya?,anger,aisa khana ho koi bhi chup padega yah hai kya,ऐस खन हो तो कोइ भि चुप् पदेग यह् है क्य?,"If there is such a food then no one will remain silent, what is this?"
finale.avi,monisha,daal aur biryani,neutral,daal aur biryani,दाल् और् बिर्यनि,daal and biryani
finale.avi,sahil,kaun si yah kali kali,neutral,kaun si yah kali kali,कौन् सि यह् कलि कलि,who is this black?
finale.avi,monisha,vah biryani hai,neutral,vah biryani hai,वह् बिर्यनि है,wow biryani
finale.avi,sahil,achcha. two blue dal hai,neutral,achcha two blue dal hai,अच्च। त्वो ब्लुए दल् है,अच्चा. two blue has been added
finale.avi,monisha,blue? daal blue hai dikhao. woh washing machine mein kapde dhote dhote daal banai thi na toh shayad,sadness,blue daal blue hai dikhao woh washing machine mein kapde dhote dhote daal banai thi na toh shayad,ब्लुए? दाल् ब्लुए है दिखओ। वोह् वशिन्ग् मचिने मेइन् कप्दे धोते धोते दाल् बनै थि न तोह् शयद्,"blue? Show whether the lentils are blue. Who put dirty clothes in the washing machine, that's why it is so bad."
finale.avi,sahil,hah? matlab washing machine mein aapane kapdon  ke sath garam masala dal diya?,surprise,hah matlab washing machine mein aapane kapdon ke sath garam masala dal diya,हह्? मत्लब् वशिन्ग् मचिने मेइन् आपने कप्दोन्  के सथ् गरम् मसल दल् दिय?,huh? Meaning: Did you put garam masala along with your clothes in the washing machine?
finale.avi,monisha,hio rabba main abhi dekh kar aati hun pinku bathroom se bahar nikal,fear,hio rabba main abhi dekh kar aati hun pinku bathroom se bahar nikal,हिओ रब्ब मैन् अभि देख् कर् आति हुन् पिन्कु बथ्रूम् से बहर् निकल्,"Hi sir, I have just come out of the pink bathroom."
finale.avi,vithal,baba baba main kuchh dusra banaa kar le aata hun,neutral,baba baba main kuchh dusra banaa kar le aata hun,बब बब मैन् कुछ् दुस्र बना कर् ले आत हुन्,baba baba main kuchh dusra kar banaye hun hai
finale.avi,sahil,nahin nahin vithika ka rahane dijiye mujhe bilkul bhookh nahin hai. mujhe bahut yad a rahi hai,sadness,nahin nahin vithika ka rahane dijiye mujhe bilkul bhookh nahin hai mujhe bahut yad rahi hai,नहिन् नहिन् विथिक क रहने दिजिये मुझे बिल्कुल् भूख् नहिन् है। मुझे बहुत् यद् अ रहि है,"No, no, please give me the instructions, I am not hungry at all. I miss you a lot"
finale.avi,rosesh,kiski?,neutral,kiski,किस्कि?,kiski?
