episode,speakers,utterances,emotions,cleaned_utterances,hindi_utterances,english_utterances
roseshantstobeadopted.wmv,indu,"rosesh bete, diwali mubarak ho!",joy,rosesh bete diwali mubarak ho,"रोसेश् बेते, दिवलि मुबरक् हो!","Rosesh Bete, Happy Diwali!"
roseshantstobeadopted.wmv,rosesh,"please dad mubarak ho aisa shabd istemal na karen to behtar hoga kyunki mere paida hone per ""mubarak ho aapko teesra baccha hua hai"" aisa to kisi ne nahin kaha hoga na?",sadness,please dad mubarak ho aisa shabd istemal na karen behtar hoga kyunki mere paida hone per mubarak ho aapko teesra baccha hua hai aisa kisi ne nahin kaha hoga na,"प्लेअसे दद् मुबरक् हो ऐस शब्द् इस्तेमल् न करेन् तो बेह्तर् होग क्युन्कि मेरे पैद होने पेर् ""मुबरक् हो आप्को तीस्र बच्च हुअ है"" ऐस तो किसि ने नहिन् कह होग न?","please dad mubarak ho don't use such a word it will be better because for being born I am blessed to have a third child, no one would have said this to anyone right?"
roseshantstobeadopted.wmv,maya,how can you say that rosesh?,neutral,say rosesh,होव् चन् योउ सय् थत् रोसेश्?,how can you say that rosesh?
roseshantstobeadopted.wmv,maya,tumhen maloom nahin indravadan to khushi se nach utha tha vahi nursing home mein!,joy,tumhen maloom nahin indravadan khushi se nach utha tha vahi nursing home mein,तुम्हेन् मलूम् नहिन् इन्द्रवदन् तो खुशि से नच् उथ थ वहि नुर्सिन्ग् होमे मेइन्!,You did not feel any pain until you woke up happily there in the nursing home!
roseshantstobeadopted.wmv,indu,"han han yad hai! yad hai! aur maya tum bhi to kitna naachi thi, yad hai tumhen?",neutral,han han yad hai yad hai aur maya tum bhi kitna naachi thi yad hai tumhen,"हन् हन् यद् है! यद् है! और् मय तुम् भि तो कित्न नाचि थि, यद् है तुम्हेन्?","han han yaad hai! remember! And Maya, you also danced so much, do you remember?"
roseshantstobeadopted.wmv,maya,meri cesarean delivery hui thi indravadan!,neutral,meri cesarean delivery hui thi indravadan,मेरि चेसरेअन् देलिवेर्य् हुइ थि इन्द्रवदन्!,My cesarean delivery was successful!
roseshantstobeadopted.wmv,rosesh,aur mithaai kaun si bati thi?,neutral,aur mithaai kaun si bati thi,और् मिथाइ कौन् सि बति थि?,And who served the dinner?
roseshantstobeadopted.wmv,indu,baithi thi na mithaiyan! vah kadak bundi ke laddu bate the. haina?,neutral,baithi thi na mithaiyan vah kadak bundi ke laddu bate haina,बैथि थि न मिथैयन्! वह् कदक् बुन्दि के लद्दु बते थे। हैन?,I won't give up on Mithaiyan! That's when Bundi's laddu bate the. haina?
roseshantstobeadopted.wmv,maya,dry fruits ke boxes baate the indravadan!,neutral,dry fruit ke box baate indravadan,द्र्य् फ़्रुइत्स् के बोक्षेस् बाते थे इन्द्रवदन्!,boxes of dry fruits in the indravadan!
roseshantstobeadopted.wmv,indu,"are haan, yad aaya dryfruits ke boxes bate the! unn dino diwalil bhi to thi to lage hatho humne...",neutral,haan yad aaya dryfruits ke box bate unn dino diwalil bhi thi lage hatho humne,"अरे हान्, यद् आय द्र्य्फ़्रुइत्स् के बोक्षेस् बते थे! उन्न् दिनो दिवलिल् भि तो थि तो लगे हथो हुम्ने॥।","are haan, yad aaya boxes of dryfruits bate the! Every day, even on Diwali, we have to endure this..."
roseshantstobeadopted.wmv,rosesh,"it's ok momma. diwali ka ek bahana to tha, dry fruits bantne ka... mera janam to!",sadness,ok momma diwali ka ek bahana tha dry fruit bantne ka mera janam,"इत्'स् ओक् मोम्म। दिवलि क एक् बहन तो थ, द्र्य् फ़्रुइत्स् बन्त्ने क॥। मेर जनम् तो!","it's ok mom. There was an excuse for Diwali, to distribute dry fruits... my love!"
roseshantstobeadopted.wmv,monisha,"happy diwali! mummy ji ye liljiye aapka gift, candal. kesa laga?",joy,happy diwali mummy ji ye liljiye aapka gift candal kesa laga,"हप्प्य् दिवलि! मुम्म्य् जि ये लिल्जिये आप्क गिफ़्त्, चन्दल्। केस लग?","happy diwali! Mummy ji please accept your gift, candle. how did it feel?"
roseshantstobeadopted.wmv,maya,jaisa laga so laga tumhen achcha laga na?,contempt,jaisa laga laga tumhen achcha laga na,जैस लग सो लग तुम्हेन् अच्च लग न?,"You liked the way it felt, didn't it?"
roseshantstobeadopted.wmv,monisha,haan.,joy,haan,हान्।,han.
roseshantstobeadopted.wmv,maya,to tang do kahin bhi,neutral,tang kahin bhi,तो तन्ग् दो कहिन् भि,to hang anywhere
roseshantstobeadopted.wmv,monisha,"aur mummy ji yah stickers kahan lagaun? ""shubh labh"", ""happy diwali"", ""welcome"" wale?",joy,aur mummy ji yah sticker kahan lagaun shubh labh happy diwali welcome wale,"और् मुम्म्य् जि यह् स्तिच्केर्स् कहन् लगौन्? ""शुभ् लभ्"", ""हप्प्य् दिवलि"", ""वेल्चोमे"" वले?","And mom, where do you put these stickers? ""shubh labh"", ""happy diwali"", ""welcome"" wale?"
roseshantstobeadopted.wmv,maya,yah plastic ke stickers tumne kahan se khariden?,contempt,yah plastic ke sticker tumne kahan se khariden,यह् प्लस्तिच् के स्तिच्केर्स् तुम्ने कहन् से खरिदेन्?,Where do you buy these plastic stickers from?
roseshantstobeadopted.wmv,monisha,khareed nahin mummy ji mujhe dukandar ne aise hi de diye. mujhe aate hue dekhkar dukandar ne kaha ki bahan ji please jor jor se bhav mat karna jo chahie aise hi muft mein le jaaiye!,joy,khareed nahin mummy ji mujhe dukandar ne aise hi de diye mujhe aate hue dekhkar dukandar ne kaha ki bahan ji please jor jor se bhav mat karna jo chahie aise hi muft mein le jaaiye,खरीद् नहिन् मुम्म्य् जि मुझे दुकन्दर् ने ऐसे हि दे दिये। मुझे आते हुए देख्कर् दुकन्दर् ने कह कि बहन् जि प्लेअसे जोर् जोर् से भव् मत् कर्न जो चहिए ऐसे हि मुफ़्त् मेइन् ले जाइये!,"I didn't buy anything. Mummy didn't give it to me like this at the shop. Seeing me coming, the shopkeeper said, ""Sister, please beat the price as much as you can. If you want, you can buy it for free!"""
roseshantstobeadopted.wmv,sahil,aur tumne le liye?,neutral,aur tumne le liye,और् तुम्ने ले लिये?,and you took it?
roseshantstobeadopted.wmv,monisha,haan! ismein se do to main bech bhi diye sahil! kahan lagau balcony main?,joy,haan ismein se main bech bhi diye sahil kahan lagau balcony main,हान्! इस्मेइन् से दो तो मैन् बेच् भि दिये सहिल्! कहन् लगौ बल्चोन्य् मैन्?,"haan! Do it with pride, sell it also! where to put main balcony?"
roseshantstobeadopted.wmv,maya,jahan ji chahe laga do ab yah ghar to hamara raha hi nhi. chalo indravadan.,neutral,jahan ji chahe laga ab yah ghar hamara raha hi nhi chalo indravadan,जहन् जि चहे लग दो अब् यह् घर् तो हमर रह हि न्हि। चलो इन्द्रवदन्।,"No matter what we do in this world, this house is no longer ours. let's go indravadan."
roseshantstobeadopted.wmv,indu,haan chalo maya,neutral,haan chalo maya,हान् चलो मय,hey let's go Maya
roseshantstobeadopted.wmv,sahil,ek minute! mom-dad aap donon kahan ja rahe ho?,neutral,ek minute aap donon kahan ja rahe ho,एक् मिनुते! मोम्-दद् आप् दोनोन् कहन् ज रहे हो?,"one minute! Mom-Dad, where are you both staying?"
roseshantstobeadopted.wmv,indu,"pata nahin beta lekin jo zyattiyan humne rosesh pe ki hain, shayad usi ka yah prayashchit hai",sadness,pata nahin beta lekin jo zyattiyan humne rosesh pe ki hain shayad usi ka yah prayashchit hai,"पत नहिन् बेत लेकिन् जो ज़्यत्तियन् हुम्ने रोसेश् पे कि हैन्, शयद् उसि क यह् प्रयश्चित् है","I don't know, son, but the zillions that we have spent on anger, maybe this is his repentance."
roseshantstobeadopted.wmv,maya,"indravadan prayaschit is melodramatically middle class. rosesh beta, aaj se yah ghar tumhara. consider this our penance. tum kahin nahin jaaoge ham hi chale jaenge. happy diwali and goodbye. chalo indu.",sadness,indravadan prayaschit melodramatically middle class rosesh beta aaj se yah ghar tumhara consider penance tum kahin nahin jaaoge ham hi chale jaenge happy diwali goodbye chalo indu,"इन्द्रवदन् प्रयस्चित् इस् मेलोद्रमतिचल्ल्य् मिद्द्ले च्लस्स्। रोसेश् बेत, आज् से यह् घर् तुम्हर। चोन्सिदेर् थिस् ओउर् पेनन्चे। तुम् कहिन् नहिन् जाओगे हम् हि चले जएन्गे। हप्प्य् दिवलि अन्द् गूद्ब्ये। चलो इन्दु।","indravadan prayaschit is melodramatically middle class. Rosesh beta, from today this house is yours. consider this our punishment. You will not go anywhere but I will go there. happy diwali and goodbye. let's go indu."
roseshantstobeadopted.wmv,indu,"maya ye to rok hi nhi rha hai, kahan jaenge hum log?",neutral,maya ye rok hi nhi rha hai kahan jaenge hum log,"मय ये तो रोक् हि न्हि र्ह है, कहन् जएन्गे हुम् लोग्?","Maya this has not been here for a long time, where will we go?"
roseshantstobeadopted.wmv,sahil,rosesh kya kar rahe ho? mom and dad ghar chhodkar ja rahe hain!,neutral,rosesh kya kar rahe ho mom dad ghar chhodkar ja rahe hain,रोसेश् क्य कर् रहे हो? मोम् अन्द् दद् घर् छोद्कर् ज रहे हैन्!,rosesh what are you doing? Mom and dad are staying at home!
roseshantstobeadopted.wmv,indu,"dekha mujhe pata tha ki yah nalayak kuchh zyatti karega. ab kya karen? kuchh karo, tum karo!",neutral,dekha mujhe pata tha ki yah nalayak kuchh zyatti karega ab kya karen kuchh karo tum karo,"देख मुझे पत थ कि यह् नलयक् कुछ् ज़्यत्ति करेग। अब् क्य करेन्? कुछ् करो, तुम् करो!","Look, I knew that this bastard would make a lot of money. what to do now? Do it, do it!"
roseshantstobeadopted.wmv,maya,"rosesh beta, yah middle class ghar ab tumhen mubarak ho.",sadness,rosesh beta yah middle class ghar ab tumhen mubarak ho,"रोसेश् बेत, यह् मिद्द्ले च्लस्स् घर् अब् तुम्हेन् मुबरक् हो।","Rosesh beta, you are blessed with this middle class house."
roseshantstobeadopted.wmv,indu,"ab bhi koi asar nhi ho rha hai, me karta hun. rosesh bete suno meri almari ke teesre drawer main kuchh dvds rakhi hai, wo mat dekhna, huh? or, or bete suno, maa baap to aakhir maa baap hi hote hain!",neutral,ab bhi koi asar nhi ho rha hai karta hun rosesh bete suno meri almari ke teesre drawer main kuchh dvd rakhi hai wo mat dekhna huh bete suno maa baap aakhir maa baap hi hote hain,"अब् भि कोइ असर् न्हि हो र्ह है, मे कर्त हुन्। रोसेश् बेते सुनो मेरि अल्मरि के तीस्रे द्रवेर् मैन् कुछ् द्व्द्स् रखि है, वो मत् देख्न, हुह्? ओर्, ओर् बेते सुनो, मा बाप् तो आखिर् मा बाप् हि होते हैन्!","Even now there is no effect, I keep doing it. Rosesh son, listen, there are some DVDs kept in the third drawer of my wardrobe, don't look at them, huh? or, or listen son, mother father is here at last!"
roseshantstobeadopted.wmv,rosesh,momma please aap...,neutral,momma please aap,मोम्म प्लेअसे आप्॥।,Momma please please...
roseshantstobeadopted.wmv,maya,acha! nahin jaaungi main!,neutral,acha nahin jaaungi main,अच! नहिन् जाउन्गि मैन्!,आचा! No young man!
roseshantstobeadopted.wmv,indu,hum! hum nhi jaenge bete!,neutral,hum hum nhi jaenge bete,हुम्! हुम् न्हि जएन्गे बेते!,hum! We will not go son!
roseshantstobeadopted.wmv,rosesh,momma!!,joy,momma,मोम्म!!,momma!!
roseshantstobeadopted.wmv,monisha,chalo inki katti khatam ho gyi!,joy,chalo inki katti khatam ho gyi,चलो इन्कि कत्ति खतम् हो ग्यि!,"Come on, I have finished eating these!"
roseshantstobeadopted.wmv,maya,"differences resolve ho gye monisha! katti khatam hogyi is as pathetic as tumara ye candel and ye stickers, nilao inhe bahr. ab inss ghar se agar koi jayega to tumare yeh moddle class decorations. out out! happy diwali baby",joy,difference resolve ho gye monisha katti khatam hogyi pathetic tumara ye candel ye sticker nilao inhe bahr ab ins ghar se agar koi jayega tumare yeh moddle class decoration happy diwali baby,"दिफ़्फ़ेरेन्चेस् रेसोल्वे हो ग्ये मोनिश! कत्ति खतम् होग्यि इस् अस् पथेतिच् अस् तुमर ये चन्देल् अन्द् ये स्तिच्केर्स्, निलओ इन्हे बह्र्। अब् इन्स्स् घर् से अगर् कोइ जयेग तो तुमरे येह् मोद्द्ले च्लस्स् देचोरतिओन्स्। ओउत् ओउत्! हप्प्य् दिवलि बब्य्","differences have been resolved monisha! What you have eaten is as pathetic as your candle and these stickers, throw them out. Now if anyone comes from home then you will make these modded class decorations. out out! happy diwali baby"
roseshantstobeadopted.wmv,maya,radha bai! vitthal! monisha!,neutral,radha bai vitthal monisha,रध बै! वित्थल्! मोनिश!,radha bai! vitthal! monisha!
roseshantstobeadopted.wmv,indu,"maya suno, ye kachra nahin hai. yah meri jeans hai favourite.",fear,maya suno ye kachra nahin hai yah meri jean hai favourite,"मय सुनो, ये कच्र नहिन् है। यह् मेरि जेअन्स् है फ़वोउरिते।","Maya, listen, this is not garbage. These jeans are my favourite."
roseshantstobeadopted.wmv,maya,tumhari favourite jeans mein itna bada chhed hai!,disgust,tumhari favourite jean mein itna bada chhed hai,तुम्हरि फ़वोउरिते जेअन्स् मेइन् इत्न बद छेद् है!,There is such a big hole in your favorite jeans!
roseshantstobeadopted.wmv,indu,han to aajkal wo chhed wale kapde pehna fashion mein hai.,neutral,han aajkal wo chhed wale kapde pehna fashion mein hai,हन् तो आज्कल् वो छेद् वले कप्दे पेह्न फ़शिओन् मेइन् है।,Nowadays it is in fashion to wear those desired clothes.
roseshantstobeadopted.wmv,maya,"indravadan ghutne pe ya thighs pe chhed ho tab wo jeans fashionable hoti hai, ismein kahan chhed hai dikhao?",contempt,indravadan ghutne pe ya thigh pe chhed ho tab wo jean fashionable hoti hai ismein kahan chhed hai dikhao,"इन्द्रवदन् घुत्ने पे य थिघ्स् पे छेद् हो तब् वो जेअन्स् फ़शिओनब्ले होति है, इस्मेइन् कहन् छेद् है दिखओ?","Indravadan is worn on the knees or on the thighs, then those jeans are fashionable, show me where it is worn?"
roseshantstobeadopted.wmv,maya,radha bai! rosesh!,neutral,radha bai rosesh,रध बै! रोसेश्!,radha bai! rosesh!
roseshantstobeadopted.wmv,indu,"haha, kamal hai na dono kam wali bayian aaj gayab hai.",joy,haha kamal hai na dono kam wali bayian aaj gayab hai,"हह, कमल् है न दोनो कम् वलि बयिअन् आज् गयब् है।","Haha, it's amazing that both of your short statements are missing today."
roseshantstobeadopted.wmv,maya,indu! tumhi uthakar ke fenk do bahar chalo.,neutral,indu tumhi uthakar ke fenk bahar chalo,इन्दु! तुम्हि उथकर् के फ़ेन्क् दो बहर् चलो।,indu! Throw away your dust and let's go.
roseshantstobeadopted.wmv,indu,haila yah to meri favourite chocolate ka dibba hai maya!,surprise,haila yah meri favourite chocolate ka dibba hai maya,हैल यह् तो मेरि फ़वोउरिते चोचोलते क दिब्ब है मय!,Here comes my favorite box of chocolates Maya!
roseshantstobeadopted.wmv,maya,tumhari favourite chocolate expire ho chuki hai,neutral,tumhari favourite chocolate expire ho chuki hai,तुम्हरि फ़वोउरिते चोचोलते एक्ष्पिरे हो चुकि है,your favorite chocolate has expired
roseshantstobeadopted.wmv,indu,"rahane do na maya, kam aaegi",neutral,rahane na maya kam aaegi,"रहने दो न मय, कम् आएगि","Don't let Maya come, it will come less."
roseshantstobeadopted.wmv,maya,kya kam aaegi?,neutral,kya kam aaegi,क्य कम् आएगि?,what less will you come?
roseshantstobeadopted.wmv,indu,main kha lunga,neutral,main kha lunga,मैन् ख लुन्ग,main kha longa
roseshantstobeadopted.wmv,maya,indu ismein zahar faila hoga,neutral,indu ismein zahar faila hoga,इन्दु इस्मेइन् ज़हर् फ़ैल होग,indu ismein zahar hoga hoga
roseshantstobeadopted.wmv,indu,to tum kha lena,neutral,tum kha lena,तो तुम् ख लेन,to eat you
roseshantstobeadopted.wmv,maya,kya tum sach mein chahte ho ki main mar jaaun? i'll rephrase the question. agar bhagwan tumhen option de ki tum apni jaan doge ya maya ki to tum kaun sa option chunoge?,neutral,kya tum sach mein chahte ho ki main mar jaaun rephrase question agar bhagwan tumhen option de ki tum apni jaan doge ya maya ki tum kaun sa option chunoge,क्य तुम् सच् मेइन् चह्ते हो कि मैन् मर् जाउन्? इ'ल्ल् रेफ्रसे थे क़ुएस्तिओन्। अगर् भग्वन् तुम्हेन् ओप्तिओन् दे कि तुम् अप्नि जान् दोगे य मय कि तो तुम् कौन् स ओप्तिओन् चुनोगे?,"Do you really want me to marry you? I'll rephrase the question. If God gave you the option of giving up your life or giving up your life, which option would you choose?"
roseshantstobeadopted.wmv,indu,yeah do mein se ek ungali select karo nahin fir se fir se ab,neutral,yeah mein se ek ungali select karo nahin fir se fir se ab,येअह् दो मेइन् से एक् उन्गलि सेलेच्त् करो नहिन् फ़िर् से फ़िर् से अब्,yes do select one finger from me not again then again now
roseshantstobeadopted.wmv,maya,i have got my answer indravadan,sadness,got answer indravadan,इ हवे गोत् म्य् अन्स्वेर् इन्द्रवदन्,i have got my answer indravadan
roseshantstobeadopted.wmv,indu,rosesh kahan the tum? kab se chilla rahi hoon!,neutral,rosesh kahan tum kab se chilla rahi hoon,रोसेश् कहन् थे तुम्? कब् से चिल्ल रहि हून्!,rosesh where are you? How long have you been shouting?
roseshantstobeadopted.wmv,rosesh,yeh aapka letter...,sadness,yeh aapka letter,येह् आप्क लेत्तेर्॥।,this is your letter...
roseshantstobeadopted.wmv,maya,letter?,surprise,letter,लेत्तेर्?,letter?
roseshantstobeadopted.wmv,rosesh,jo aapane dad ko likha tha mere paida hone se pahle!,sadness,jo aapane dad ko likha tha mere paida hone se pahle,जो आपने दद् को लिख थ मेरे पैद होने से पह्ले!,Which you wrote to your father before I was born!
roseshantstobeadopted.wmv,indu,tere paida hone se pahle? aaye haye kya suhane din the kab lautenge ab pta nhi!,contempt,tere paida hone se pahle aaye haye kya suhane din kab lautenge ab pta nhi,तेरे पैद होने से पह्ले? आये हये क्य सुहने दिन् थे कब् लौतेन्गे अब् प्त न्हि!,"Before you were born? What are these beautiful days, when will we return again!"
roseshantstobeadopted.wmv,rosesh,bahut jald vah din wapas laut aaenge dad,sadness,bahut jald vah din wapas laut aaenge dad,बहुत् जल्द् वह् दिन् वपस् लौत् आएन्गे दद्,very soon that day will come back soon dad
roseshantstobeadopted.wmv,maya,kyon aisa kah rahe ho kya hai is letter main?,neutral,kyon aisa kah rahe ho kya hai letter main,क्योन् ऐस कह् रहे हो क्य है इस् लेत्तेर् मैन्?,Why are you like this? What is the letter main?
roseshantstobeadopted.wmv,rosesh,ismein saboot hai ki aap logon ki jindagi mein meri koi jarurat nahin thi! main aap logon ki anchahi aulad hun,sadness,ismein saboot hai ki aap logon ki jindagi mein meri koi jarurat nahin thi main aap logon ki anchahi aulad hun,इस्मेइन् सबूत् है कि आप् लोगोन् कि जिन्दगि मेइन् मेरि कोइ जरुरत् नहिन् थि! मैन् आप् लोगोन् कि अन्चहि औलद् हुन्,This is proof that I am not needed in your people's lives! I am the great child of you people.
roseshantstobeadopted.wmv,maya,rosesh! this is supremely middle class!,contempt,rosesh supremely middle class,रोसेश्! थिस् इस् सुप्रेमेल्य् मिद्द्ले च्लस्स्!,rosesh! this is supremely middle class!
roseshantstobeadopted.wmv,rosesh,ok main aapka unwanted child hun,sadness,ok main aapka unwanted child hun,ओक् मैन् आप्क उन्वन्तेद् चिल्द् हुन्,ok main aapka unwanted child hun
roseshantstobeadopted.wmv,maya,"that's better. are rosesh, tumhen aisa kyon lagta hai beta?",neutral,better rosesh tumhen aisa kyon lagta hai beta,"थत्'स् बेत्तेर्। अरे रोसेश्, तुम्हेन् ऐस क्योन् लग्त है बेत?","that's better. Hey Rosesh, why do you feel like this, son?"
roseshantstobeadopted.wmv,sahil,rosesh chup ho jao. monisha pani lekar aao!,anger,rosesh chup ho jao monisha pani lekar aao,रोसेश् चुप् हो जओ। मोनिश पनि लेकर् आओ!,"Rosesh, shut up. monisha pani lekar aao!"
roseshantstobeadopted.wmv,monisha,kaunsa wala laun?,neutral,kaunsa wala laun,कौन्स वल लौन्?,which lawn?
roseshantstobeadopted.wmv,sahil,kaunsa wala matlab?,neutral,kaunsa wala matlab,कौन्स वल मत्लब्?,what meaning?
roseshantstobeadopted.wmv,monisha,isme lahsun ka tadka gira tha aur ismein ballpen.,neutral,isme lahsun ka tadka gira tha aur ismein ballpen,इस्मे लह्सुन् क तद्क गिर थ और् इस्मेइन् बल्ल्पेन्।,A bit of garlic had fallen in it and it was in the ballpen.
roseshantstobeadopted.wmv,sahil,ball pen leak ho rahi thi?,neutral,ball pen leak ho rahi thi,बल्ल् पेन् लेअक् हो रहि थि?,Is the ball pen leaking?
roseshantstobeadopted.wmv,monisha,nahi,neutral,nahi,नहि,nahi
roseshantstobeadopted.wmv,sahil,to vah wala pani lekar aao,neutral,vah wala pani lekar aao,तो वह् वल पनि लेकर् आओ,come to that water doctor
