episode,speakers,utterances,emotions
roseshantstobeadopted.wmv,monisha,khareed nahin mummy ji mujhe dukandar ne aise hi de diye. mujhe aate hue dekhkar dukandar ne kaha ki bahan ji please jor jor se bhav mat karna jo chahie aise hi muft mein le jaaiye!,joy
roseshantstobeadopted.wmv,sahil,aur tumne le liye?,neutral
roseshantstobeadopted.wmv,monisha,haan! ismein se do to main bech bhi diye sahil! kahan lagau balcony main?,joy
roseshantstobeadopted.wmv,maya,jahan ji chahe laga do ab yah ghar to hamara raha hi nhi. chalo indravadan.,neutral
roseshantstobeadopted.wmv,indu,haan chalo maya,neutral
roseshantstobeadopted.wmv,sahil,ek minute! mom-dad aap donon kahan ja rahe ho?,neutral
roseshantstobeadopted.wmv,indu,"pata nahin beta lekin jo zyattiyan humne rosesh pe ki hain, shayad usi ka yah prayashchit hai",sadness
roseshantstobeadopted.wmv,maya,"indravadan prayaschit is melodramatically middle class. rosesh beta, aaj se yah ghar tumhara. consider this our penance. tum kahin nahin jaaoge ham hi chale jaenge. happy diwali and goodbye. chalo indu.",sadness
roseshantstobeadopted.wmv,indu,"maya ye to rok hi nhi rha hai, kahan jaenge hum log?",neutral
roseshantstobeadopted.wmv,sahil,rosesh kya kar rahe ho? mom and dad ghar chhodkar ja rahe hain!,neutral
roseshantstobeadopted.wmv,indu,"dekha mujhe pata tha ki yah nalayak kuchh zyatti karega. ab kya karen? kuchh karo, tum karo!",neutral
roseshantstobeadopted.wmv,maya,"rosesh beta, yah middle class ghar ab tumhen mubarak ho.",sadness
roseshantstobeadopted.wmv,indu,"ab bhi koi asar nhi ho rha hai, me karta hun. rosesh bete suno meri almari ke teesre drawer main kuchh dvds rakhi hai, wo mat dekhna, huh? or, or bete suno, maa baap to aakhir maa baap hi hote hain!",neutral
roseshantstobeadopted.wmv,rosesh,momma please aap...,neutral
roseshantstobeadopted.wmv,maya,acha! nahin jaaungi main!,neutral
roseshantstobeadopted.wmv,indu,hum! hum nhi jaenge bete!,neutral
roseshantstobeadopted.wmv,rosesh,momma!!,joy
roseshantstobeadopted.wmv,monisha,chalo inki katti khatam ho gyi!,joy
roseshantstobeadopted.wmv,maya,"differences resolve ho gye monisha! katti khatam hogyi is as pathetic as tumara ye candel and ye stickers, nilao inhe bahr. ab inss ghar se agar koi jayega to tumare yeh moddle class decorations. out out! happy diwali baby",joy
roseshantstobeadopted.wmv,maya,radha bai! vitthal! monisha!,neutral
roseshantstobeadopted.wmv,indu,"maya suno, ye kachra nahin hai. yah meri jeans hai favourite.",fear
roseshantstobeadopted.wmv,maya,tumhari favourite jeans mein itna bada chhed hai!,disgust
roseshantstobeadopted.wmv,indu,han to aajkal wo chhed wale kapde pehna fashion mein hai.,neutral
roseshantstobeadopted.wmv,maya,"indravadan ghutne pe ya thighs pe chhed ho tab wo jeans fashionable hoti hai, ismein kahan chhed hai dikhao?",contempt
roseshantstobeadopted.wmv,maya,radha bai! rosesh!,neutral
roseshantstobeadopted.wmv,indu,"haha, kamal hai na dono kam wali bayian aaj gayab hai.",joy
roseshantstobeadopted.wmv,maya,indu! tumhi uthakar ke fenk do bahar chalo.,neutral
roseshantstobeadopted.wmv,indu,haila yah to meri favourite chocolate ka dibba hai maya!,surprise
roseshantstobeadopted.wmv,maya,tumhari favourite chocolate expire ho chuki hai,neutral
roseshantstobeadopted.wmv,indu,"rahane do na maya, kam aaegi",neutral
roseshantstobeadopted.wmv,maya,kya kam aaegi?,neutral
roseshantstobeadopted.wmv,indu,main kha lunga,neutral
roseshantstobeadopted.wmv,maya,indu ismein zahar faila hoga,neutral
roseshantstobeadopted.wmv,indu,to tum kha lena,neutral
roseshantstobeadopted.wmv,maya,kya tum sach mein chahte ho ki main mar jaaun? i'll rephrase the question. agar bhagwan tumhen option de ki tum apni jaan doge ya maya ki to tum kaun sa option chunoge?,neutral
roseshantstobeadopted.wmv,indu,yeah do mein se ek ungali select karo nahin fir se fir se ab,neutral
roseshantstobeadopted.wmv,maya,i have got my answer indravadan,sadness
roseshantstobeadopted.wmv,indu,rosesh kahan the tum? kab se chilla rahi hoon!,neutral
roseshantstobeadopted.wmv,rosesh,yeh aapka letter...,sadness
roseshantstobeadopted.wmv,maya,letter?,surprise
roseshantstobeadopted.wmv,rosesh,jo aapane dad ko likha tha mere paida hone se pahle!,sadness
roseshantstobeadopted.wmv,indu,tere paida hone se pahle? aaye haye kya suhane din the kab lautenge ab pta nhi!,contempt
roseshantstobeadopted.wmv,rosesh,bahut jald vah din wapas laut aaenge dad,sadness
roseshantstobeadopted.wmv,maya,kyon aisa kah rahe ho kya hai is letter main?,neutral
roseshantstobeadopted.wmv,rosesh,ismein saboot hai ki aap logon ki jindagi mein meri koi jarurat nahin thi! main aap logon ki anchahi aulad hun,sadness
roseshantstobeadopted.wmv,maya,rosesh! this is supremely middle class!,contempt
roseshantstobeadopted.wmv,rosesh,ok main aapka unwanted child hun,sadness
roseshantstobeadopted.wmv,maya,"that's better. are rosesh, tumhen aisa kyon lagta hai beta?",neutral
roseshantstobeadopted.wmv,sahil,rosesh chup ho jao. monisha pani lekar aao!,anger
roseshantstobeadopted.wmv,monisha,kaunsa wala laun?,neutral
roseshantstobeadopted.wmv,sahil,kaunsa wala matlab?,neutral
roseshantstobeadopted.wmv,monisha,isme lahsun ka tadka gira tha aur ismein ballpen.,neutral
roseshantstobeadopted.wmv,sahil,ball pen leak ho rahi thi?,neutral
roseshantstobeadopted.wmv,monisha,nahi,neutral
roseshantstobeadopted.wmv,sahil,to vah wala pani lekar aao,neutral
roseshantstobeadopted.wmv,monisha,okay,neutral
roseshantstobeadopted.wmv,sahil,hello mujhe batao tum ro kyon rahe ho?,anger
roseshantstobeadopted.wmv,rosesh,"momma hai na momma, wo mujhe maarna chahti thi sahil bhai!",sadness
roseshantstobeadopted.wmv,sahil,mom bhi?,neutral
roseshantstobeadopted.wmv,rosesh,haan.,sadness
roseshantstobeadopted.wmv,sahil,mom tumhe kyun marna chahti thi rosesh? tum mom ko bahut acche lagte ho. tum acting karte ho fir bhi!,neutral
roseshantstobeadopted.wmv,rosesh,"mere paida hone se pahle momma ko pata thodi na tha, ki main paida hokar great actor banunga.",sadness
roseshantstobeadopted.wmv,monisha,yah lijiye,neutral
roseshantstobeadopted.wmv,rosesh,thank you. ismein se to ajeeb si smell a rahi hai bhabhi,disgust
roseshantstobeadopted.wmv,sahil,pee le na! aisi acting kar jaise yah best quality wine ho. great actor hai ye!,contempt
roseshantstobeadopted.wmv,monisha,sahil tum rosesh bhaiya ko tana kyon mar rhe ho?,neutral
roseshantstobeadopted.wmv,rosesh,"tana hi to mar rahe hain bhabhi, mom ki tarah jaan se to nahin maar rahe...",sadness
roseshantstobeadopted.wmv,monisha,mummy ji ne aapko marne ki koshish ki?,neutral
roseshantstobeadopted.wmv,sahil,tum monisha ke kapde pahan ke khade the? haan to kyun?,neutral
roseshantstobeadopted.wmv,rosesh,"mere paida hone se pahle sahil bhai, wo teesra bachcha nahin chahti thi. wo mujhe paida hone dena nahin chahti thi!",sadness
roseshantstobeadopted.wmv,sahil,what nonsense rosesh?,anger
roseshantstobeadopted.wmv,rosesh,aisa khat mein likha hai unhone,sadness
roseshantstobeadopted.wmv,sahil,to mom ke pass us baat ka koi explanation hoga rosesh.,neutral
roseshantstobeadopted.wmv,rosesh,lekin unhone aisa socha hi kyon?,sadness
roseshantstobeadopted.wmv,sahil,rosesh unhone sirf esa socha hai kiya to nahin na?,anger
roseshantstobeadopted.wmv,monisha,han rasesh bhaiya dekhiae na main apna purana kurta kitni bar fenk dene ka sochti hoon lekin fekti thodi hoon,neutral
roseshantstobeadopted.wmv,sahil,monisha tumhare phate hue kurte mein aur rosesh mein thoda fark hai.,neutral
roseshantstobeadopted.wmv,rosesh,koi fark nahin hai sahil bhai. main bhi phat chuka hun is purane kurte ki tarah!,sadness
roseshantstobeadopted.wmv,monisha,aur donon ka colour bhi same hai. dekho. off white.,neutral
roseshantstobeadopted.wmv,rosesh,see the coincidence!,sadness
roseshantstobeadopted.wmv,sahil,are han! rosesh me sirf hook nahin hai...,anger
roseshantstobeadopted.wmv,rosesh,momma aap mujhse dur hi rahe to behtar hoga,sadness
roseshantstobeadopted.wmv,maya,batao phool khushbu se dur rah sakta hai?,neutral
roseshantstobeadopted.wmv,rosesh,yah line seriously middle class nahin hai?,contempt
roseshantstobeadopted.wmv,maya,han hai. lekin maine socha ki agar main thoda poetic language main tumse baat karun to... lekin batao na phool khushbu se dur ho sakta hai?,neutral
roseshantstobeadopted.wmv,rosesh,"phool aur khushbu ek dusre se dur rah sakte hain momma, agar phool plastic ke ho to.",sadness
roseshantstobeadopted.wmv,maya,nahin nahin please baby apne aap ko plastic ka phool mat kaho,sadness
roseshantstobeadopted.wmv,rosesh,momma plastic ka phool maine aapko kaha hai. main to bloody fool hun! jo itne salon se soch raha tha ki kisi ko jarurat ho na ho lekin meri momma ko meri jarurat hogi,sadness
roseshantstobeadopted.wmv,maya,han to hai na beta hai,neutral
roseshantstobeadopted.wmv,rosesh,aap jhooth bol rahi hai momma. aap to mere paida hone ke pahle hi...,sadness
roseshantstobeadopted.wmv,maya,rosesh baby wo to sirf ek khayal tha.,neutral
roseshantstobeadopted.wmv,rosesh,matlab khyal tu aaya tha na mera khoon karne ka,sadness
roseshantstobeadopted.wmv,maya,rosesh please don't exaggerate. uss waqt meri tabiyat bahut weak thi. dr. jhunjhunwala ne to kaha bhi tha ki teesra bachcha hone mein meri jaan ko khatra hai!,neutral
roseshantstobeadopted.wmv,rosesh,matlab aapane apni jaan bachane ke liye meri jaan...,sadness
roseshantstobeadopted.wmv,rosesh,"jo sawal apne dad se kiya vahi sawal main aapse karta hun momma, agar bhagwan aap se poochenge ki kisi ek ki jaan ko dena jaruri hai, to aap meri hi jaan dengi na?",sadness
roseshantstobeadopted.wmv,maya,"no no i swear baby no! never! mein tumhari jaan kabhi na deti! main bhagwan ko samjhati ki bhagwan rosesh to aap hi ki den hai duniya ko, aap uski jaan mat lijiye. uske badle samne ke ghar ko dekhiye. vahan ek jaan hai jo sara din bhains ki tarah tv ke samne padi rahti hai!",contempt
roseshantstobeadopted.wmv,rosesh,monisha bhabhi ki baat chhodiye. lekin use waqt to aapane apni hi jaan ki parvah ki thi na momma!,neutral
roseshantstobeadopted.wmv,maya,"main na karti rosesh, lekin sahil aur sonia chote chote the aur bai kam chhod kar ke chali gai thi. main khud un donon ko school le jaya karti thi. aur jab hamari gadi kharab ho gai to maine taxi se safar kiya hai lekin uff tak nahin ki. fir part time nauker kam chod ke bhag gya! to maine unke kapde istri kiye hain. inn taklifo ke beech jab mujhe pata chala ki mujhe teesra bachcha hone wala hai, to main qubool karti hun ki ek second ke liye mere man mein yah vichar aaya, to kya maine gunah kiya?",sadness
roseshantstobeadopted.wmv,rosesh,sorry main ab yahan nahin ruk sakta,sadness
roseshantstobeadopted.wmv,maya,tu kahan jaaoge tum?,sadness
roseshantstobeadopted.wmv,rosesh,wahin jahan kisi ko meri jarurat ho.,neutral
roseshantstobeadopted.wmv,maya,tumhari kise jarurat hogi? i mean kisi na kisi ko to hogi jarurat magar kise?,neutral
roseshantstobeadopted.wmv,rosesh,wo to waqt aane par aur ad aane per pata chal jayega momma.,sadness
roseshantstobeadopted.wmv,maya,ad?,surprise
video1.wmv,indravardhan,.hahaha. can you imagine sahil do ghante tak rosesh kismi ko apne drama ke dialogue sunata raha dhadak dhadak dhadak. hahaha,joy
video1.wmv,monisha,vah to theek hai dadi ji zara ye sochiye agar kismi ka ghar kisi kabristan ke pass hota to?,neutral
video1.wmv,sahil,to kya. rosesh ko dialogue bolane ki jarurat hi nahin padati. woh chupchap kismi ke samne baitha rahata vah aur apne aap kabristan ka feel aa jata,joy
video1.wmv,indravardhan,hahaha. safed bhoot kahin ka. hahaha,joy
video1.wmv,rosesh,sahil bhai dad?,neutral
video1.wmv,indravardhan,ayy dekho dekho,neutral
video1.wmv,rosesh,monisha bhabhi,neutral
video1.wmv,indravardhan,dekho monisha gaur se dekho,neutral
video1.wmv,rosesh,kya kya kya,neutral
video1.wmv,sahil,ek minute ek minute. rosesh baith jao. baith ja aankhen badi kar ab dad ko gauro. dant nikal ke.aaa yah dekho hain same to same,joy
video1.wmv,monisha,haan. same,neutral
video1.wmv,rosesh,kya hua aap sab aise gore kyon rahe? mujhe sharm aa rahi hai,joy
video1.wmv,indravardhan,oh ho bhoot sharma ra ha hai. hahaha,contempt
video1.wmv,sahil,achcha yah bata to dauda dauda kyon aaya yahan?,neutral
video1.wmv,rosesh,are haan. kismi aayi hai kya yahan?,neutral
video1.wmv,monisha,kismi toh mummy ji ke sath gai hai na naukari ka interview dene?,neutral
video1.wmv,rosesh,raste mein momma ko sarita aunty mil gai vah unhe hi hello kar ne lagi gi kismi gayab,neutral
video1.wmv,indravardhan,gayab?,surprise
video1.wmv,maya,this is the limit indu. are madhubhai is tarah se apni bhatiji ko hamare yahan kaise chhod sakte hain,contempt
video1.wmv,indravardhan,isme kya harj kya hai maya,neutral
video1.wmv,maya,indravardhan kunwari ladki hai vah. i mean hum responsibility kaise le sakte hain? hamare ghar mein ek handsome young kunwara ladka hai,neutral
video1.wmv,indravardhan,chhat main kunwara kahan hun.,joy
video1.wmv,maya,main rosesh ki baat kar rahi thi,anger
video1.wmv,indravardhan,han rosesh kumara hai per vah handsome kahan hai,neutral
video1.wmv,maya,oh cut it out indu in any case mujhe rosesh ki fikar nahin hai. vah aisi mani ben made in jaipur jaisi ladki ke samne aankh uthakar bhi nahin dekhega,contempt
video1.wmv,indravardhan,naturally tum uski aankhen nahin noch logi,contempt
video1.wmv,maya,well there's that but the point is the rosesh is not a problem. lekin vah ladki kal kuchh ulta sulta ho gaya to fir,neutral
video1.wmv,indravardhan,"are don't worry maya, ya kismi is kasam ki ladki nahin hai",neutral
video1.wmv,maya,tumhen kaise pata ho sakta hai ki vah pagal ho yah serial killer yah...,neutral
video1.wmv,kismi,maasi kya sone ki tayari ho rahi hain?,joy
video1.wmv,maya,kiss me please kisi ke kamre mein aane se pahle knock karna chahie,contempt
video1.wmv,kismi,kal se knock kar ke aaungi na. kaise ho mausa,joy
video1.wmv,indravardhan,ekadam maje mein. aaj mein jamke sounga bhai. daba ke khaya hai maya ke hathon ka bana hua mushroom masala. ,joy
video1.wmv,maya,it was mushroom de paiza indravardhan. and please healthily khaya hai bolo daba ke khaya hai is wedding receptionistacally middle class. jahan log daba ke basundi pite hai yah cutlets khate hain. not to forget  trirangi dhokala and paan. lekin i am sure tum to definitely dinner discuss nahi karne aayi hogi ho,contempt
video1.wmv,kismi,nai masi. isme discuss kya karna. main to non-veg khati hi nahin na,contempt
video1.wmv,maya,excuse me kismi. yah jo mushroom hote hain na vah non-veg nahin hote,neutral
video1.wmv,kismi,vo non-veg jaisa hi hota hai mausa aur mere jetpur mein haina usse billi ka top kehte hai. vah mareli sadeli gili lakadi per jab bhi nikal aata hai na mushroom kab hai na use,disgust
video1.wmv,maya,excuse me kismi. mushroom koi bimari nahin hai jo nikal kar aaye and please get to the point. tum itni raat ko yahan kyon aayi o,neutral
video1.wmv,kismi,haan. masi idhar aaju baju mein railway station kahan hai,neutral
video1.wmv,maya,station? kyun?,surprise
video1.wmv,kismi,vah kya hai na  ki jetpur mein mera ghar railway station ke laggo lag hai. tum mujhe hai na ki train aawar jaawar ki awaaz sunke hi sone ki aadat hai,neutral
video1.wmv,indravardhan,ek minute ek minute kismi. iska matlab tum railway station per jakar sone ki soch rahi ho,neutral
video1.wmv,kismi,na re sangi nahin per sun ke awoogi tu do ghadi aankh to lagegi na mausa,neutral
video1.wmv,maya,itni raat ko tumhen koi station nahin le ja sakta haa. ek kam karo kudi thodi der chukh chukh bolo aur so jao. ok,neutral
video1.wmv,kismi,hain?,surprise
video1.wmv,indravardhan,madhubhai ki bhatiji. hain!,anger
video1.wmv,sahil,yess?,neutral
video1.wmv,kismi,hello good night,joy
video1.wmv,sahil,haa good night kahane ke liye tum abhi aayi ho,neutral
video1.wmv,kismi,han. tum monisha ko bhi bol deti hun. monisha,neutral
video1.wmv,sahil,arre shhh,anger
video1.wmv,kismi,monisha,neutral
video1.wmv,sahil,ayy kismi main manisha ko good night bol dunga chalo aur suno agar kal raat bhi tum bhul gai na good night bolna to parson subah aana belated good night bolna chalao,neutral
video1.wmv,monisha,kaun hai sahil? kismi raat ko ek baje,surprise
video1.wmv,sahil,raat ke teen baje hi monisha,neutral
video1.wmv,monisha,are han meri gadi to ek hafte se band hai,neutral
video1.wmv,kismi,tum ek hafte se band ghadi pahan rahi ho,surprise
video1.wmv,monisha,han vah gold-plated hai na aur fir hath par bandi hui acchi lagti hai mahangi wali aur vaise bhi kareeb se kaun dekhne aata hai ki band hai ya chalu,neutral
video1.wmv,kismi,high class hai haan monisha. per man lo ke kisi ne poochha bahan time kya hua hai toh,neutral
video1.wmv,monisha,to main foran chuke kaise deti ho. are meri galti to band ho gai,neutral
video1.wmv,kismi,solid high class idea hi monisha. hahaha. ay lekin monisha socho ke kisi sim aadami ne 2-3 bar time poochh liya to,neutral
video1.wmv,monisha,yah to maine socha hi nahin kab to use shak ho sakta hai na kismi,fear
video1.wmv,sahil,ooo chokriyo. chalo yah band gadi vasul vasul kal subah kheloge to chalega,neutral
video1.wmv,kismi,sorry sahil bhai actually mujhe thodi madad chahie thi,neutral
video1.wmv,sahil,kaisi,neutral
video1.wmv,kismi,vah mujhe railgadi ki awaaz suni thi,neutral
video1.wmv,sahil,alka yagnik ya udit narayan ki awaz nahin chalegi na,contempt
video1.wmv,kismi,bus bus sahil bhai meri firki khinch rahe ho na,sadness
video1.wmv,sahil,nahin nahin kya hai na kar meri cd ke collection mein train ki awaaz wali sidhi nahin hai,contempt
video1.wmv,kismi,to ab mujhe nind kaise aaegi,sadness
video1.wmv,sahil,ek kam karo abbi please sone ki ki koshish karo agar neend nahi aaye na to man mein main vah bed bakriyan 1 2 3 4 chalo chalo chalo good night,neutral
video1.wmv,monisha,good night,joy
video1.wmv,maya,gayab as in thin air. sarita aur main puri building chan mari,neutral
video1.wmv,indravardhan,kaun si?,neutral
video1.wmv,maya,embassy embassy towers uske aas paas ki sari sadke bhi dekhni hum logon ne,neutral
video1.wmv,monisha,lekin aapane use naam lekar pukara? use awaaz di?,neutral
video1.wmv,maya,nahin,anger
video1.wmv,indravardhan,common maya awaaz to lagani chahie thi na,anger
video1.wmv,maya,uska naam kismi hai indu,neutral
video1.wmv,indravardhan,toh?,neutral
video1.wmv,maya,sarita aur main har jagah kismi kismi kahate hue khoon se to kaisa lagta?,neutral
video1.wmv,rosesh,koi badmash aakar ke momma ko kiss kar leta to,fear
video1.wmv,maya,right toh. i mean monisha hoti to alag baat thi. usse kis karne kaun aata. lekin main to abhi 35 ki lagti hun na,neutral
video1.wmv,rosesh,bhale hi aap ho 51 ki,neutral
video1.wmv,maya,yah kahana jaruri tha?,anger
video1.wmv,sahil,excuse me guys! kismi ke bare mein soche oh my god sahil,neutral
video1.wmv,indravardhan,oh my god sahil 6 bajane wale hain aur tum to jante ho embassy towers ke piche 6 baje ke bad kya hota hai,fear
video1.wmv,sahil,kya hota hai?,neutral
video1.wmv,indravardhan,up come on ab acting mat karo jaise tumhen kuchh pata hi nahin hai,anger
video1.wmv,sahil,vakya mein mujhe kuchh pata nahin hai kuchh,fear
video1.wmv,indravardhan,aaaa hahaha. monisha yahan per baithi hai isiliye nirdosh banne ki koshish kar rahe ho.,contempt
video1.wmv,maya,indravardhan embassy towers ke piche kya hota hai 6 baje ke bad bako!,anger
video1.wmv,indravardhan,kuchh nahin maiya ho gunday mavali wahan chori ka mal bhejte hain. yah imported ghatiya vagaira 400 500rs mein mil jaati hai,neutral
video1.wmv,sahil,right!,neutral
video1.wmv,monisha,are vah. sahil chalo chalo wahan chalte hain vaise bhi meri gadi band ho gai hai chalo na,joy
video1.wmv,sahil,monisha,anger
video1.wmv,monisha,aur kism bhi toh kho gai hai. haina,neutral
video1.wmv,madhu,hello everybody,joy
video1.wmv,sahil,oh my goodness madhusudan fufa. koi nahin bataega kismi kho gai hai,fear
video1.wmv,maya,hello madhu bhai aap cold coffee piyenge yah french champagne?,joy
video1.wmv,madhu,hain?,neutral
video1.wmv,indravardhan,maya. french champagne ghar mein hai?,neutral
video1.wmv,maya,bolane mein kya jata hai unhen sunai thodi de raha hai,neutral
video1.wmv,maya,yess?,neutral
video1.wmv,kismi,namaste,neutral
video1.wmv,maya,aap kon?,neutral
video1.wmv,kismi,kismi,neutral
video1.wmv,maya,excuse me,surprise
video1.wmv,kismi,mera naam hai. woh chocolate aati thi na meethi meethi godi godi. use pese rakha.,joy
video1.wmv,madhu,hi maya,joy
video1.wmv,maya,madhubhai aaye aaye. bahut dino baad.,neutral
video1.wmv,madhu,"maya ya mere bhai moti lal ji ki chhoti beti, kismi.",neutral
video1.wmv,maya,iska naam sachmuch kismi hai,contempt
video1.wmv,madhu,nahin nahin iska naam kismi hai,neutral
video1.wmv,naisha,dids ne abhi vahi tu kaha mr,neutral
video1.wmv,madhu,henh?,neutral
video1.wmv,naisha,dids ne abhi wahi kaha,neutral
video1.wmv,madhu,maya ya sahil ne ladki ke kapde kyon pahne hain?,neutral
video1.wmv,monisha,nahin nahin madhupushpa yah sahil nahin hai yah mummy ji ki bahan hai naisha mausi,neutral
video1.wmv,madhu,han han jarur launga. lekin yah sahil ne ladki ke kapde kyon pahne hai?,neutral
video1.wmv,maya,madhu bhai aap baithie na. inne kuchh bhi nahin sunai deta. baithiye madhu bhai,neutral
video1.wmv,madhu,trivennum!,neutral
video1.wmv,naisha,what?,surprise
video1.wmv,maya,madhubhai baithi aap please,anger
video1.wmv,monisha,kisme aao na tum bhi baitho,joy
video1.wmv,kismi,madhu kaka high class  hai inka ghar,neutral
video1.wmv,madhu,haan! are maiya bade jatan se rakhti hai apne ghar ko,neutral
video1.wmv,kismi,han vah to dikhi raha hai,neutral
video1.wmv,madhu,dikhta hai na toh!,joy
video1.wmv,maya,mamma mia ji kitna easily communicate kar rahi hai madhu bai ke sath,surprise
video1.wmv,madhu,hain?,neutral
video1.wmv,maya,madhubhai yahan kaise aana hua,neutral
video1.wmv,madhu,nahin nahin khichdi aur kadhi banakar gai hai ila,neutral
video1.wmv,kismi,kaka ye poochh rahi hai yahan kaise aana hua?,neutral
video1.wmv,madhu,ooo! maiya meri bhatiji jaidpur se mumbai ayi hai. kaam kaaj dhundhne ke liye,neutral
video1.wmv,maya,achha kis tarah ka kaam kaaj?,neutral
video1.wmv,madhu,aaj? aaj to kitchen repair karenge vah log. lekin yah sahil ne ladki ke kapde kyon pahne hai?,neutral
video1.wmv,kismi,kaka yah sahil bhai nahi hai. yah inki bahan hai,neutral
video1.wmv,madhu,oo maiya ye tumhari bahan hai ?,surprise
video1.wmv,maya,naisha,neutral
video1.wmv,madhu,lekin kisme ne to kaha ki tumhari bahan hai,neutral
video1.wmv,maya,madhubhai yah. over to kisme,anger
video1.wmv,kismi,kaka inka naam hai naisha,neutral
video1.wmv,madhu,ooo naisha,neutral
video1.wmv,monisha,are vah mummy ji yah ladki to champion hai,joy
video1.wmv,kismi,main kaka ke yahan rahane aayi hoon per ke yahan repair chal rahi hai na. to vah mujhe yahan chhodake jale hain,neutral
video1.wmv,maya,what?,surprise
video1.wmv,kismi,haan.zyada nai en do mahine ke liye,neutral
video1.wmv,maya,ek do mahine. madhubhai that's not possible hah.,fear
video1.wmv,madhu,thank you maya,joy
video1.wmv,maya,oh my god madhubhai over to kismi. samjhao please,neutral
